category,role,full_name,period_start,period_end,label_surname,label_variants_observed,evidence_notes,source_url
senate_authority,vicepresidencia 2a,Guadalupe Tagliaferri,2021-12-10,2023-12-13,Tagliaferri,,"Designated in session 09-12-2021 ('Queda designada a partir del 10 de diciembre'); ratified 24-02-2022, 23-02-2023; resigned 13-12-2023.",https://www.senado.gov.ar/parlamentario/sesiones/09-12-2021/15/downloadTac
senate_authority,vicepresidencia 2a,Alejandra María Vigo,2023-12-13,,Vigo,,"Designated and sworn 13-12-2023; ratified 23-02-2024. Also senator (Córdoba, 2021-12-10..2027-12-09).",https://www.senado.gov.ar/parlamentario/sesiones/13-12-2023/08/downloadTac
senate_authority,secretaria parlamentaria,Marcelo Jorge Fuentes,2019-12-10,2023-12-13,Fuentes,fuentes; Secretario Parlamentario (Fuentes),"Ratified 2020-2023 preparatorias; last appears as 'Sr. Secretario (Fuentes)' 2023-12-10; successor designated 13-12-2023. 2,300+ labeled interventions in held VTs.",https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
senate_authority,secretaria parlamentaria,Agustín Wenceslao Giustinian,2023-12-13,,Giustinian,Giustiniani (typo); Guistinian (typo),Designated and sworn 13-12-2023; ratified 23-02-2024. Appears as 'Sr. Secretario (Giustinian)' from 2023-12-13.,https://www.senado.gov.ar/parlamentario/sesiones/13-12-2023/08/downloadTac
senate_authority,secretaria administrativa,María Luz Alonso,2019-12-10,2023-12-13,Alonso,,Ratified 2020-2023 preparatorias; successor designated 13-12-2023. Appears as 'Sra. Secretaria (Alonso)' (rare: 2020-06-04).,https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
senate_authority,secretaria administrativa,María Laura Izzo,2023-12-13,,Izzo,,"Designated and sworn 13-12-2023; ratified 23-02-2024. Never appears as a speaker in held VTs; end of tenure not traced (post-window successor per senado.gob.ar/autoridades, 2026: Alejandro Fitzgerald).",https://www.senado.gov.ar/parlamentario/sesiones/13-12-2023/08/downloadTac
senate_authority,prosecretaria parlamentaria,Juan Pedro Tunessi,2019-12-10,2023-12-13,Tunessi,,Ratified 2020-2023 preparatorias; resigned 13-12-2023 (read in session). Appears as 'Sr. Prosecretario (Tunessi)' 2020-02-28..2023-12-13.,https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
senate_authority,prosecretaria parlamentaria,María Dolores Martínez,2023-12-13,,Martínez,,Designated and sworn 13-12-2023; ratified 23-02-2024. Appears as 'Sra. Prosecretaria (Martínez)' 2024. Distinct from senators Ernesto/Julio Martínez (both left 2023-12-09).,https://www.senado.gov.ar/parlamentario/sesiones/13-12-2023/08/downloadTac
senate_authority,prosecretaria administrativa,Mariano Cabral,2019-12-10,2023-12-13,Cabral,,Ratified 2020-2023 preparatorias; successor designated 13-12-2023. No labeled interventions in held VTs.,https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
senate_authority,prosecretaria administrativa,Lucas Martín Clark,2023-12-13,,Clark,,Designated and sworn 13-12-2023; ratified 23-02-2024. No labeled interventions in held VTs.,https://www.senado.gov.ar/parlamentario/sesiones/13-12-2023/08/downloadTac
senate_authority,prosecretaria de coordinacion operativa,Diego Bermúdez,2019-12-10,2023-12-13,Bermúdez,,Ratified 2020-2023 preparatorias (named in VT 20-02-2020 p5 and 23-02-2023 p7); successor designated 13-12-2023. No labeled interventions in held VTs.,https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
senate_authority,prosecretaria de coordinacion operativa,Manuel Ignacio Chavarría,2023-12-13,,Chavarría,,Designated and sworn 13-12-2023. No labeled interventions in held VTs.,https://www.senado.gov.ar/parlamentario/sesiones/13-12-2023/08/downloadTac
national_executive,presidencia de la Nacion,Alberto Ángel Fernández,2019-12-10,2023-12-10,Fernández,Sr. Presidente de la Nación (role label),"Speaks at Asambleas Legislativas 2020-2023 (labels 'Sr. Presidente de la Nación' and, mid-speech in VT 01-03-2021, bare 'Sr. Fernández'). Resolve by session_type=ASAMBLEA + date, never against the senator roster.",https://www.senado.gov.ar/parlamentario/sesiones/01-03-2021/00/downloadTac
national_executive,presidencia de la Nacion,Javier Gerardo Milei,2023-12-10,,Milei,Sr. Presidente de la Nación (role label),Sworn in at Asamblea 10-12-2023 (held VT); speaks at Asamblea 01-03-2024.,https://www.senado.gov.ar/parlamentario/sesiones/10-12-2023/00/downloadTac
national_executive,jefatura de gabinete de ministros,Santiago Andrés Cafiero,2019-12-10,2021-09-20,Cafiero,Sr. Jefe de Gabinete de Ministros (Cafiero),"Informe sessions in held VTs: 2020-10-07, 2021-06-03. End of tenure confirmed by the official record of the 20-09-2021 swearing-in, where he handed the office to Manzur and moved to the Foreign Ministry (argentina.gob.ar). Boletín Oficial decree not consulted.",https://www.senado.gov.ar/parlamentario/sesiones/07-10-2020/16/downloadTac
national_executive,jefatura de gabinete de ministros,Juan Luis Manzur,2021-09-20,2023-02-15,Manzur,Sr. Jefe de Gabinete de Ministros (Manzur),Informe session in held VTs: 2022-06-02. Sworn 20-09-2021 per the official record of the ceremony (argentina.gob.ar); replaced by Rossi on 15-02-2023. Boletín Oficial decree not consulted.,https://www.senado.gov.ar/parlamentario/sesiones/02-06-2022/06/downloadTac
national_executive,jefatura de gabinete de ministros,Nicolás Posse,2023-12-10,2024-05-27,Posse,Sr. Jefe de Gabinete de Ministros (Posse),"Informe session in held VTs: 2024-05-15. Resigned 27-05-2024, the day the presidency's official communiqué announced Francos as his successor. Boletín Oficial decree not consulted.",https://www.senado.gov.ar/parlamentario/sesiones/15-05-2024/04/downloadTac
national_executive,jefatura de gabinete de ministros,Guillermo Alberto Francos,2024-05-27,,Francos,Sr. Jefe de Gabinete de Ministros (Francos),"Informe session in held VTs: 2024-11-27. Took office 27-05-2024 on Posse's resignation, per the presidency's official communiqué. Still in office at the end of the corpus window. Boletín Oficial decree not consulted.",https://www.senado.gov.ar/parlamentario/sesiones/27-11-2024/11/downloadTac
national_executive,jefatura de gabinete de ministros,Agustín Oscar Rossi,2023-02-15,2023-12-10,Rossi,,No informe session in the held corpus. Sworn 15-02-2023: the official announcement says 'asumió este miércoles' and contemporaneous reporting fixes the Wednesday as 15 February. Left with the administration on 10-12-2023. Boletín Oficial decree not consulted.,
national_executive,presidencia de la Nacion,Fernando de la Rúa,1999-12-10,2001-12-21,de la Rúa,De la Rúa,Tenure from the public record. No held sitting records him speaking: the corpus's earliest 'Presidente de la Nación' label is 01-03-2003. Row present so a stray label in 2000-2001 cannot fall to the next holder.,https://www.casarosada.gob.ar/nuestro-pais/presidentes
national_executive,presidencia de la Nacion,Eduardo Alberto Duhalde,2002-01-02,2003-05-25,Duhalde,,"Named in the held VT of the Asamblea 01-03-2003 ('presidente de la Nación, doctor Eduardo Alberto Duhalde'). Interim presidencies of December 2001 fall between held sittings and are not listed.",https://www.senado.gov.ar/parlamentario/sesiones/01-03-2003/00/downloadTac
national_executive,presidencia de la Nacion,Néstor Carlos Kirchner,2003-05-25,2007-12-10,Kirchner,,"Sworn in at the Asamblea 25-05-2003 (held VT names him); named again in the Asambleas of 2004, 2005, 2006 and 2007.",https://www.senado.gov.ar/parlamentario/sesiones/25-05-2003/00/downloadTac
national_executive,presidencia de la Nacion,Cristina Elisabet Fernández de Kirchner,2007-12-10,2015-12-10,Fernández de Kirchner,Fernández Kirchner,"Sworn in at the Asambleas of 10-12-2007 and 10-12-2011 (both held VTs); named in the Asambleas of 2008, 2009 and 2012. Same person as the vicepresidencia row for 2019-2023.",https://www.senado.gov.ar/parlamentario/sesiones/10-12-2007/00/downloadTac
national_executive,presidencia de la Nacion,Mauricio Macri,2015-12-10,2019-12-10,Macri,,"Sworn in at the Asamblea 10-12-2015 (held VT names him); named in the Asambleas of 2016, 2017, 2018 and 2019.",https://www.senado.gov.ar/parlamentario/sesiones/10-12-2015/00/downloadTac
national_executive,jefatura de gabinete de ministros,Rodolfo Terragno,1999-12-10,2000-10-06,Terragno,,Tenure from the public record; no informe session in the held corpus falls in this window.,https://www.argentina.gob.ar/jefatura
national_executive,jefatura de gabinete de ministros,Chrystian Colombo,2000-10-06,2001-12-20,Colombo,,Tenure from the public record; no informe session in the held corpus falls in this window.,https://www.argentina.gob.ar/jefatura
national_executive,jefatura de gabinete de ministros,Jorge Milton Capitanich,2002-01-03,2002-05-03,Capitanich,,"Named in the held VT of 11-04-2002, the only informe session in this window. Distinct from his 2013-2015 tenure below, and from his own senate mandate for Chaco.",https://www.senado.gov.ar/parlamentario/sesiones/11-04-2002/05/downloadTac
national_executive,jefatura de gabinete de ministros,Alfredo Néstor Atanasof,2002-05-03,2003-05-25,Atanasof,,Tenure from the public record; no informe session in the held corpus falls in this window.,https://www.argentina.gob.ar/jefatura
national_executive,jefatura de gabinete de ministros,Alberto Ángel Fernández,2003-05-25,2008-07-23,Fernández,,"Named in the held VTs of the informe sessions 25-06-2003, 18-03-2004, 30-06-2004, 13-10-2004, 05-07-2006, 08-11-2006 and 30-04-2008. Same person as the presidencia row for 2019-2023.",https://www.senado.gov.ar/parlamentario/sesiones/05-07-2006/14/downloadTac
national_executive,jefatura de gabinete de ministros,Sergio Tomás Massa,2008-07-23,2009-07-07,Massa,,Tenure from the public record; no informe session in the held corpus falls in this window.,https://www.argentina.gob.ar/jefatura
national_executive,jefatura de gabinete de ministros,Aníbal Domingo Fernández,2009-07-07,2011-12-10,Fernández,,"Named in the held VTs of the informe sessions 09-09-2009, 02-06-2010 and 11-05-2011. Distinct from Alberto Ángel Fernández: the tenures do not overlap.",https://www.senado.gov.ar/parlamentario/sesiones/09-09-2009/10/downloadTac
national_executive,jefatura de gabinete de ministros,Juan Manuel Abal Medina,2011-12-10,2013-11-20,Abal Medina,,"Named in the held VTs of the informe sessions 30-05-2012 and 05-06-2013. Later a senator (Buenos Aires, 2013-2019), so the label may also reach the roster.",https://www.senado.gov.ar/parlamentario/sesiones/30-05-2012/07/downloadTac
national_executive,jefatura de gabinete de ministros,Jorge Milton Capitanich,2013-11-20,2015-02-26,Capitanich,,"Named in the held VTs of the informe sessions 07-05-2014, 06-08-2014 and 22-10-2014; the 12-03-2014 sitting falls in the same window. Second tenure.",https://www.senado.gov.ar/parlamentario/sesiones/07-05-2014/07/downloadTac
national_executive,jefatura de gabinete de ministros,Aníbal Domingo Fernández,2015-02-26,2015-12-10,Fernández,,"Second tenure, sworn 26-02-2015 replacing Capitanich; no informe session in the held corpus falls in this window.",https://www.argentina.gob.ar/jefatura
national_executive,jefatura de gabinete de ministros,Marcos Peña,2015-12-10,2019-12-10,Peña,,"Named in the held VTs of the informe sessions 01-06-2016, 25-04-2017, 28-06-2017, 01-11-2017, 25-04-2018, 27-06-2018 and 27-03-2019.",https://www.senado.gov.ar/parlamentario/sesiones/27-03-2019/03/downloadTac
national_executive,presidencia de la Nacion,Carlos Saúl Menem,1995-07-08,1999-12-10,Menem,,"Second term. Addresses the Asamblea Legislativa as 'Sr. PRESIDENTE DE LA NACIÓN' on 01-03-1998 and 01-03-1999, invited by the chair 'al señor presidente de la Nación Argentina'. Held sittings open in 1998 only from 25-02, so the start date is the term's, not an observation.",https://www.senado.gob.ar/parlamentario/sesiones/01-03-1998/00/downloadTac
national_executive,jefatura de gabinete de ministros,Jorge Alberto Rodríguez,1996-08-06,1999-12-10,Rodríguez,,Speaks as 'Sr. JEFE DE GABINETE DE MINISTROS' in the informes to the chamber from 25-03-1998 to 27-10-1999; the row closes the gap before Terragno. Predecessor of the holders already listed.,https://www.senado.gob.ar/parlamentario/sesiones/25-03-1998/downloadTac
