fecha,person_id,person_name,bloque,tipo,orador,archivo,seq,url,cita
1999-04-28,223,"PRETO, RUGGERO",MOVIMIENTO POPULAR FUEGUINO,propia,"PRETO, RUGGERO",1999-04-28_r14_ORDINARIA.html,121,https://www.senado.gov.ar/parlamentario/sesiones/28-04-1999/14/downloadTac,en nombre de los miembros del bloque del Movimiento Popular Fueguino venimos
1999-06-30,6,"BRAVO, LEOPOLDO",Bloquista De La Provincia De San Juan,propia,"BRAVO, LEOPOLDO",1999-06-30_r30_ORDINARIA.html,120,https://www.senado.gov.ar/parlamentario/sesiones/30-06-1999/30/downloadTac,"en nombre del bloque del Partido Bloquista, al cual represento"
1999-07-07,88,"CAFIERO, ANTONIO FRANCISCO",JUSTICIALISTA,propia,"CAFIERO, ANTONIO FRANCISCO",1999-07-07_r31_ORDINARIA.html,321,https://www.senado.gov.ar/parlamentario/sesiones/07-07-1999/31/downloadTac,"en nombre del bloque justicialista, el mismo éxito"
1999-08-04,106,"VAQUIR, OMAR MUHAMAD",JUSTICIALISTA,propia,"VAQUIR, OMAR MUHAMAD",1999-08-04_r37_ORDINARIA.html,1679,https://www.senado.gov.ar/parlamentario/sesiones/04-08-1999/37/downloadTac,como miembro del bloque justicialista
1999-08-11,229,"VILLAVERDE, JORGE ANTONIO",JUSTICIALISTA,propia,"VILLAVERDE, JORGE ANTONIO",1999-08-11_r39_ORDINARIA.html,152,https://www.senado.gov.ar/parlamentario/sesiones/11-08-1999/39/downloadTac,en nombre del bloque justicialista vengo a adherir
1999-08-25,234,"MENEGHINI, JAVIER REYNALDO",UCR - UNIÓN CÍVICA RADICAL,propia,"MENEGHINI, JAVIER REYNALDO",1999-08-25_r43_ORDINARIA.html,150,https://www.senado.gov.ar/parlamentario/sesiones/25-08-1999/43/downloadTac,"en nombre del bloque radical, solicito"
1999-10-27,95,"MASSAT, JORGE JOSE",JUSTICIALISTA,propia,"MASSAT, JORGE JOSE",1999-10-27_r52_ORDINARIA.html,351,https://www.senado.gov.ar/parlamentario/sesiones/27-10-1999/52/downloadTac,el bloque justicialista va a insistir
1999-11-24,226,"SALA, OSVALDO RUBEN",JUSTICIALISTA,propia,"SALA, OSVALDO RUBEN",1999-11-24_r62_ORDINARIA.html,202,https://www.senado.gov.ar/parlamentario/sesiones/24-11-1999/62/downloadTac,"en nombre del bloque justicialista, adelanto que aceptamos"
1999-12-09,226,"SALA, OSVALDO RUBEN",JUSTICIALISTA,propia,"SALA, OSVALDO RUBEN",1999-12-09_r67_ORDINARIA.html,123,https://www.senado.gov.ar/parlamentario/sesiones/09-12-1999/67/downloadTac,lo quiero despedir en nombre del bloque justicialista
1999-12-09,219,"MELGAREJO, JUAN IGNACIO",UCR - UNIÓN CÍVICA RADICAL,propia,"MELGAREJO, JUAN IGNACIO",1999-12-09_r67_ORDINARIA.html,151,https://www.senado.gov.ar/parlamentario/sesiones/09-12-1999/67/downloadTac,Los integrantes del bloque de la Unión Cívica Radical hemos compartido
1999-12-09,229,"VILLAVERDE, JORGE ANTONIO",JUSTICIALISTA,propia,"VILLAVERDE, JORGE ANTONIO",1999-12-09_r67_ORDINARIA.html,159,https://www.senado.gov.ar/parlamentario/sesiones/09-12-1999/67/downloadTac,en nombre del bloque justicialista adhiero
1999-12-22,226,"SALA, OSVALDO RUBEN",JUSTICIALISTA,propia,"SALA, OSVALDO RUBEN",1999-12-22_r69_EXTRAORDINARIA.html,554,https://www.senado.gov.ar/parlamentario/sesiones/22-12-1999/69/downloadTac,"asumí la responsabilidad, en nombre del bloque justicialista"
1999-12-28,208,"BAUM, DANIEL",JUSTICIALISTA,propia,"BAUM, DANIEL",1999-12-28_r72_ESPECIAL.html,251,https://www.senado.gov.ar/parlamentario/sesiones/28-12-1999/72/downloadTac,el bloque justicialista va a trabajar sobre el dictamen
2000-05-17,11,"COSTANZO, REMO",JUSTICIALISTA,de otro,"VILLARROEL, PEDRO GUILLERMO",2000-05-17_r17_ORDINARIA.html,708,https://www.senado.gov.ar/parlamentario/sesiones/17-05-2000/17/downloadTac,"el señor senador Costanzo, que ha acudido en nombre del bloque justicialista"
