senador,desde,hasta,bloque,familia
"CALCAGNO Y MAILLMANN, ERIC",2007-12-12,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"CANO, JOSE MANUEL",2010-04-14,2013-12-04,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"CAPARRÓS, MABEL LUISA",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"CAPOS, LILIANA",2005-02-03,2007-12-05,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"CARAMBIA, JOSÉ MARÍA",2024-02-23,2024-12-12,MOVERE SANTA CRUZ,Provincial & other alliances
"CASERIO, CARLOS ALBERTO",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"CASTILLO, OSCAR ANÍBAL",2005-02-03,2021-12-09,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,Provincial & other alliances
"CASTRO, MARÍA ELISA",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"CATALFAMO, MARÍA EUGENIA",2023-02-23,2023-09-28,UNIDAD FEDERAL,Provincial & other alliances
"CATALÁN MAGNI, JULIO CÉSAR",2013-12-18,2019-11-13,JUSTICIALISTA,Peronist / Justicialist
"CIMADEVILLA, MARIO JORGE",2010-04-14,2015-11-25,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"CLOSS, MAURICE FABIÁN",2005-12-21,2007-11-28,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"CLOSS, MAURICE FABIÁN",2017-12-27,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"CLOSS, MAURICE FABIÁN",2022-11-16,2023-09-28,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"COBOS, JULIO CÉSAR CLETO",2016-03-30,2021-12-09,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"COLAZO, MARIO JORGE",2007-12-12,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"COLOMBO de ACEVEDO, MARÍA TERESITA DEL VALLE",2005-02-03,2009-12-02,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,Provincial & other alliances
"CONTI, DIANA BEATRIZ",2005-02-03,2005-11-30,PARTIDO DE LA VICTORIA,Peronist / Justicialist
"CORNEJO, ALFREDO VICTOR",2021-12-29,2023-09-28,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"CORPACCI, LUCÍA BENIGNA",2010-04-14,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"CORPACCI, LUCÍA BENIGNA",2021-12-29,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"CORRADI DE BELTRAN, ANA MARIA",2007-12-12,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"CORREGIDO, ELENA MERCEDES",2007-12-12,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"COSTA, EDUARDO RAÚL",2017-12-27,2023-09-28,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"CREXELL, CARMEN LUCILA",2013-12-18,2019-11-13,MOVIMIENTO POPULAR NEUQUINO,Provincial & other alliances
"CREXELL, CARMEN LUCILA",2019-12-20,2024-12-12,MOVIMIENTO NEUQUINO,Provincial & other alliances
"CRISTINA, ANDREA MARCELA",2024-02-23,2024-12-12,FRENTE PRO,Radical / Cambiemos / JxC
"CURLETTI, MIRIAN BELÉN",2005-02-03,2007-12-05,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"DANIELE, MARIO DOMINGO",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"DE ANGELI, ALFREDO LUIS",2013-12-18,2024-12-12,FRENTE PRO,Radical / Cambiemos / JxC
"DE LA ROSA, MARÍA GRACIELA",2011-12-21,2016-12-21,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"DE PEDRO, EDUARDO ENRIQUE",2024-02-23,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"DI PERNA, GRACIELA AGUSTINA",2010-04-14,2015-11-25,TRABAJO Y DIGNIDAD,Provincial & other alliances
"DI TULLIO, JULIANA",2021-08-19,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"DI TULLIO, JULIANA",2022-05-12,2023-09-28,UNIDAD CIUDADANA,Peronist / Justicialist
"DI TULLIO, JULIANA",2024-02-23,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"DIAZ, MARIA ROSA",2011-05-04,2013-12-04,NUEVO ENCUENTRO,Provincial & other alliances
"DOÑATE, CLAUDIO MARTÍN",2019-12-20,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"DOÑATE, CLAUDIO MARTÍN",2022-05-12,2024-12-12,UNIDAD CIUDADANA,Peronist / Justicialist
"DURANGO, NORMA HAYDÉE",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"DURÉ, MARÍA EUGENIA",2019-12-20,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"DURÉ, MARÍA EUGENIA",2022-05-12,2024-12-12,UNIDAD CIUDADANA,Peronist / Justicialist
"ELÍAS DE PÉREZ, SILVIA BEATRIZ",2013-12-18,2021-12-09,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"ESCUDERO, SONIA MARGARITA",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"ESCUDERO, SONIA MARGARITA",2007-12-12,2013-12-04,JUSTICIALISTA 8 DE OCTUBRE,Peronist / Justicialist
"ESPÍNOLA, CARLOS MAURICIO",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"ESPÍNOLA, CARLOS MAURICIO",2022-11-17,2024-12-12,PROVINCIAS UNIDAS,Provincial & other alliances
"ESTENSSORO, MARÍA EUGENIA",2007-12-12,2013-12-04,ALIANZA COALICIÓN CÍVICA,Provincial & other alliances
"FALCO, LUIS",2005-02-03,2007-07-04,RADICAL RIONEGRINO,Provincial & other alliances
"FAMA, FLAVIO SERGIO",2021-12-29,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"FELLNER, LILIANA BEATRIZ",2005-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"FERNÁNDEZ DE KIRCHNER, CRISTINA E.",2005-02-03,2005-11-30,JUSTICIALISTA,Peronist / Justicialist
"FERNÁNDEZ DE KIRCHNER, CRISTINA E.",2005-12-21,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"FERNÁNDEZ DE KIRCHNER, CRISTINA E.",2017-12-27,2019-11-13,FRENTE PARA LA VICTORIA - PJ,Peronist / Justicialist
"FERNÁNDEZ SAGASTI, ANABEL",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"FERNÁNDEZ SAGASTI, ANABEL",2021-12-29,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"FERNÁNDEZ, ANIBAL",2011-12-21,2014-12-17,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"FERNÁNDEZ, NICOLÁS ALEJANDRO",2005-12-21,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"FIAD, MARIO RAYMUNDO",2017-12-27,2023-09-28,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"FILMUS, DANIEL FERNANDO",2007-12-12,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"FIORE VIÑUALES, MARÍA CRISTINA DEL VALLE",2013-12-18,2019-11-13,PARES,Provincial & other alliances
"FORSTMANN, SELVA JUDIT",2007-12-12,2009-03-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"FUENTES, MARCELO JORGE",2007-12-12,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"FUENTES, MARCELO JORGE",2013-12-18,2019-11-13,FRENTE PARA LA VICTORIA - PJ,Peronist / Justicialist
"GADANO, NATALIA ELENA",2024-02-23,2024-12-12,MOVERE SANTA CRUZ,Provincial & other alliances
"GALARETTO, EDUARDO HORACIO",2024-02-23,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"GALLEGO, SILVIA ESTER",2005-12-10,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GALLIA, SERGIO ADRIÁN",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GARCÍA LARRABURU, SILVINA MARCELA",2013-12-18,2019-11-13,FRENTE PARA LA VICTORIA - PJ,Peronist / Justicialist
"GARCÍA LARRABURU, SILVINA MARCELA",2019-12-20,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"GARCÍA LARRABURU, SILVINA MARCELA",2022-05-12,2024-12-12,UNIDAD CIUDADANA,Peronist / Justicialist
"GARCÍA, VIRGINIA MARÍA",2016-03-30,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GARRAMUÑO, JORGE ALBERTO",2013-12-18,2015-08-26,MOVIMIENTO POPULAR FUEGUINO,Provincial & other alliances
"GIACOPPO, SILVIA DEL ROSARIO",2016-03-30,2023-09-28,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"GIMÉNEZ NAVARRO, MARÍA CELESTE",2024-02-23,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"GIMÉNEZ, NORA DEL VALLE",2019-12-20,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"GIMÉNEZ, NORA DEL VALLE",2022-05-12,2024-12-12,UNIDAD CIUDADANA,Peronist / Justicialist
"GIOJA, CESAR AMBROSIO",2005-12-21,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GIRI, HAIDE DELIA",2005-12-10,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GIUSTI, SILVIA ESTER",2005-02-03,2009-12-02,TRABAJO Y DIGNIDAD,Provincial & other alliances
"GIUSTINIANI, RUBÉN HÉCTOR",2005-02-03,2015-11-25,PARTIDO SOCIALISTA,Provincial & other alliances
"GODOY, RUPERTO EDUARDO",2011-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GOERLING LARA, ENRIQUE MARTÍN",2024-02-23,2024-12-12,FRENTE PRO,Radical / Cambiemos / JxC
"GONZÁLEZ DE DUHALDE, HILDA BEATRIZ",2005-12-21,2011-11-02,JUSTICIALISTA PARA EL DIALOGO DE LOS ARGENTINOS,Peronist / Justicialist
"GONZÁLEZ RIOLLO, GABRIELA",2021-12-09,2023-09-28,FRENTE PRO,Radical / Cambiemos / JxC
"GONZÁLEZ, GLADYS ESTHER",2017-12-27,2023-09-28,FRENTE PRO,Radical / Cambiemos / JxC
"GONZÁLEZ, MARÍA TERESA MARGARITA",2017-04-25,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GONZÁLEZ, MARÍA TERESA MARGARITA",2017-12-27,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"GONZÁLEZ, MARÍA TERESA MARGARITA",2022-11-16,2023-09-28,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"GONZÁLEZ, MARÍA TERESA MARGARITA",2024-02-23,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"GONZÁLEZ, NANCY SUSANA",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"GONZÁLEZ, PABLO G.",2011-12-21,2015-11-25,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GUASTAVINO, PEDRO GUILLERMO ÁNGEL",2007-12-12,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GUASTAVINO, PEDRO GUILLERMO ÁNGEL",2013-12-18,2019-11-13,JUSTICIALISTA,Peronist / Justicialist
"GUERRA, RICARDO ANTONIO",2021-02-24,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"GUERRA, RICARDO ANTONIO",2022-11-16,2023-09-28,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"GUINLE, MARCELO ALEJANDRO HORACIO",2005-12-10,2015-11-25,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"GÓMEZ DIEZ, RICARDO",2005-02-03,2007-12-05,PARTIDO RENOVADOR DE SALTA,Provincial & other alliances
"HIGONET, MARIA DE LOS ANGELES",2010-04-14,2015-11-25,PARTIDO JUSTICIALISTA LA PAMPA,Peronist / Justicialist
"HUALA, MARÍA VICTORIA",2021-12-29,2024-12-12,FRENTE PRO,Radical / Cambiemos / JxC
"IANNI, ANA MARÍA",2017-12-27,2019-12-09,UNIDAD CIUDADANA,Peronist / Justicialist
"IANNI, ANA MARÍA",2017-12-27,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"IANNI, ANA MARÍA",2022-05-12,2023-09-28,UNIDAD CIUDADANA,Peronist / Justicialist
"IBARRA, VILMA LIDIA",2005-02-03,2007-12-05,PARTIDO DE LA VICTORIA,Peronist / Justicialist
"IRRAZÁBAL, JUAN MANUEL",2011-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"ISIDORI, AMANDA MERCEDES",2005-02-03,2007-12-05,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"ITÚRREZ DE CAPPELLINI, ADA ROSA DEL VALLE",2007-12-12,2019-11-13,FRENTE CÍVICO POR SANTIAGO,Provincial & other alliances
"JAQUE, CELSO ALEJANDRO",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"JENEFES, GUILLERMO RAÚL",2005-12-21,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"JUEZ, LUIS ALFREDO",2010-04-14,2015-11-25,FRENTE CIVICO DE LA PROVINCIA DE CORDOBA,Provincial & other alliances
"JUEZ, LUIS ALFREDO",2023-12-10,2024-12-12,LA LIBERTAD AVANZA,La Libertad Avanza
"JURI, MARIANA",2021-12-29,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"KIRCHNER, ALICIA MARGARITA ANTONIA",2005-12-21,2007-11-28,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"KIRCHNER, ALICIA MARGARITA ANTONIA",2024-02-23,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"KRONEBERGER, DANIEL RICARDO",2021-12-29,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"KUEIDER, EDGARDO DARÍO",2023-02-23,2024-12-12,UNIDAD FEDERAL,Provincial & other alliances
"KUNATH, SIGRID ELISABETH",2013-12-18,2019-11-13,JUSTICIALISTA,Peronist / Justicialist
"LABADO, MARÍA ESTER",2011-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"LATORRE, ROXANA ITATÍ",2005-02-03,2015-11-25,FEDERALISMO SANTAFESINO,Provincial & other alliances
"LEAVY, SERGIO NAPOLEÓN",2019-12-20,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"LEAVY, SERGIO NAPOLEÓN",2022-05-12,2024-12-12,UNIDAD CIUDADANA,Peronist / Justicialist
"LEDESMA ABDALA DE ZAMORA, CLAUDIA",2019-12-20,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"LEDESMA ABDALA DE ZAMORA, CLAUDIA",2022-11-16,2024-12-12,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"LEGUIZAMÓN, MARÍA LAURA",2005-12-10,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"LESCANO, MARCELA FABIANA",2005-02-03,2005-11-30,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"LEWANDOWSKI, MARCELO NÉSTOR",2021-12-29,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"LINARES, CARLOS ALBERTO",2021-12-29,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"LINARES, JAIME",2011-12-21,2017-11-29,GEN,Provincial & other alliances
"LORES, HORACIO",2007-12-12,2013-12-04,MOVIMIENTO POPULAR NEUQUINO,Provincial & other alliances
"LOSADA, CAROLINA",2021-12-29,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"LOSADA, MARIO ANÍBAL",2005-02-03,2005-11-30,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"LOUSTEAU, MARTÍN",2019-12-20,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"LOVERA, DANIEL ANÍBAL",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"LUENZO, ALFREDO HÉCTOR",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"LUNA, MIRTHA MARÍA TERESITA",2011-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"LÓPEZ ARIAS, MARCELO EDUARDO",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"LÓPEZ VALVERDE, CRISTINA DEL CARMEN",2017-12-27,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"LÓPEZ VALVERDE, CRISTINA DEL CARMEN",2022-11-16,2023-09-28,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"LÓPEZ, MARÍA FLORENCIA",2024-02-23,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"LÓPEZ, OSVALDO RAMÓN",2011-07-27,2013-12-04,NUEVO ENCUENTRO,Provincial & other alliances
"MANSILLA, SERGIO FRANCISCO",2010-04-14,2015-11-25,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"MANZUR, JUAN LUIS",2024-02-23,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"MARINO, JUAN CARLOS",2005-02-03,2021-12-09,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"MARTINEZ, JOSE CARLOS",2011-05-04,2011-06-29,NUEVO ENCUENTRO,Provincial & other alliances
"MARTÍNEZ PASS DE CRESTO, LAURA",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"MARTÍNEZ, ALFREDO ANSELMO",2005-12-21,2017-11-29,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"MARTÍNEZ, ERNESTO FÉLIX",2016-03-30,2021-12-09,FRENTE PRO,Radical / Cambiemos / JxC
"MARTÍNEZ, JULIO CÉSAR",2017-12-27,2023-09-28,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"MARÍN, RUBÉN HUGO",2005-12-10,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"MASSONI, NORBERTO",2005-02-03,2009-12-02,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"MASTANDREA, ALICIA ESTER",2005-02-03,2007-12-05,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"MAYANS, JOSÉ MIGUEL ÁNGEL",2005-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"MAYANS, JOSÉ MIGUEL ÁNGEL",2017-12-27,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"MAYANS, JOSÉ MIGUEL ÁNGEL",2022-11-16,2023-09-28,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"MAYANS, JOSÉ MIGUEL ÁNGEL",2024-02-23,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"MAZA, ADA MERCEDES",2005-12-21,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"MEABE, JOSEFINA ANGELICA",2010-04-14,2015-11-25,PARTIDO LIBERAL DE CORRIENTES,Provincial & other alliances
"MENDOZA, SANDRA MARIELA",2023-12-10,2024-12-12,CONVICCIÓN FEDERAL,Provincial & other alliances
"MENEM, CARLOS SAÚL",2005-12-21,2017-11-29,FEDERALISMO Y LIBERACIÓN,Provincial & other alliances
"MENEM, CARLOS SAÚL",2019-12-10,2021-02-04,FRENTE DE TODOS,Peronist / Justicialist
"MENEM, EDUARDO",2005-02-03,2005-11-30,LEALTAD Y DIGNIDAD JUSTICIALISTA,Peronist / Justicialist
"MERA, DALMACIO",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"MERA, MARIO RUBÉN",2005-12-10,2007-12-05,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"MESTRE, RAMON JAVIER",2010-04-14,2011-11-02,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"MICHETTI, MARTA GABRIELA",2013-12-18,2015-11-25,PRO Y UNIÓN POR ENTRE RÍOS,Provincial & other alliances
"MIRABELLA, ROBERTO MARIO",2019-12-20,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"MIRANDA, JULIO ANTONIO",2005-12-10,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"MIRKIN, BEATRIZ GRACIELA",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"MOISES, MARÍA CAROLINA",2024-02-23,2024-12-12,CONVICCIÓN FEDERAL,Provincial & other alliances
"MONLLAU, BLANCA MARIA DEL VALLE",2010-04-14,2015-11-25,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,Provincial & other alliances
"MONTENEGRO, GERARDO ANTENOR",2013-12-18,2019-11-13,FRENTE POPULAR,Provincial & other alliances
"MONTENEGRO, GERARDO ANTENOR",2019-12-20,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"MONTENEGRO, GERARDO ANTENOR",2022-11-16,2024-12-12,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"MONTERO, LAURA GISELA",2010-04-14,2015-11-25,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"MORALES, GERARDO RUBÉN",2005-02-03,2015-11-25,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"MORANDINI, NORMA ELENA",2010-04-14,2015-11-25,FRENTE CIVICO DE LA PROVINCIA DE CORDOBA,Provincial & other alliances
"NEGRE DE ALONSO, LILIANA TERESITA",2005-02-03,2005-11-30,LEALTAD Y DIGNIDAD JUSTICIALISTA,Peronist / Justicialist
"NEGRE DE ALONSO, LILIANA TERESITA",2005-12-21,2017-11-29,JUSTICIALISTA SAN LUIS,Peronist / Justicialist
"NIKISCH, ROY ABELARDO",2007-12-12,2013-12-04,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"OCHOA, RAÚL ERNESTO",2005-02-03,2005-11-30,PUNTANO INDEPENDIENTE,Provincial & other alliances
