page_id,session_id,source_file,page,eligible_pages_in_sitting,opening_words
2003-07-23_r15_p74,2003-07-23_r15,2003-07-23_r15_ORDINARIA.pdf,74,95,conciencia de este tema. No podíamos aprobar esto como un proyecto de declaración más o co
2004-10-06_r27_p43,2004-10-06_r27,2004-10-06_r27_ORDINARIA.pdf,43,144,6 de octubre de 2004 Versión provisional - Sesión ordinaria Pág. 43 Sr. Secretario (Estrad
2004-12-16_r36_p28,2004-12-16_r36,2004-12-16_r36_ORDINARIA.pdf,28,141,16 de diciembre de 2004 Versión provisional - Sesión ordinaria Pág. 28 Sr. Presidente. — Q
2005-05-18_r14_p21,2005-05-18_r14,2005-05-18_r14_ORDINARIA.pdf,21,146,18 de mayo de 2005 Versión provisional - Sesión ordinaria Pág. 21 Sr. Presidente (Guinle).
2005-11-29_r39_p5,2005-11-29_r39,2005-11-29_r39_ESPECIAL.pdf,5,6,29 de noviembre de 2005 Sesión especial á5 que ella os ha confiado para el Congreso Le
2006-07-05_r14_p36,2006-07-05_r14,2006-07-05_r14_ESPECIAL.pdf,36,59,5 de julio de 2006 Versión provisional - Sesión especial Pág. 36 del año 2003; la cuenta d
2006-09-06_r21_p33,2006-09-06_r21,2006-09-06_r21_ORDINARIA.pdf,33,38,(volver) Senado de la Nación V o t a c i ó n N o m i n a l 124° Período Legislativo - Ordi
2007-03-14_r02_p1,2007-03-14_r02,2007-03-14_r02_ORDINARIA.pdf,1,68,REPÚBLICA ARGENTINA VERSIÓN TAQUIGRÁFICA (PROVISIONAL) CÁMARA DE SENADORES DE LA NACIÓN 2°
2007-12-19_r21_p29,2007-12-19_r21,2007-12-19_r21_ORDINARIA.pdf,29,142,19 de diciembre de 2007 Versión provisional - Sesión ordinaria Pág. 29 funcionarios nacion
2008-03-12_r02_p18,2008-03-12_r02,2008-03-12_r02_ORDINARIA.pdf,18,75,12 de marzo de 2008 Versión provisional - Sesión ordinaria Pág. 18 necesario para desarrol
2008-09-10_r15_p37,2008-09-10_r15,2008-09-10_r15_ORDINARIA.pdf,37,75,"10 de septiembre de 2008 Versión provisional - Sesión ordinaria Pág. 37 nacional, tanto al"
2009-02-27_r01_p4,2009-02-27_r01,2009-02-27_r01_PREPARATORIA.pdf,4,6,27 de febrero de 2009 Sesión preparatoria Pág. 4 Cabe destacar que hablar del senador Rubé
2009-03-01_r00_p3,2009-03-01_r00,2009-03-01_r00_ASAMBLEA.pdf,3,16,"MERCHAN, Paula Cecilia ROSSI, Agustín Oscar MOISÉS, María Carolina ROSSI, Alejandro Luis M"
2010-07-14_r14_p77,2010-07-14_r14,2010-07-14_r14_ORDINARIA.pdf,77,174,"14 y 15 de julio de 2010 Versión Provisional Pág. 77 Sr. Torres. – Sí, yo voy a pedir la t"
2010-10-13_r19_p80,2010-10-13_r19,2010-10-13_r19_ORDINARIA.pdf,80,136,"1 3 y 14 de octubre de 2010 Versión Provisional Pág. 80 automática en ambas cámaras, un pr"
2011-02-28_r01_p3,2011-02-28_r01,2011-02-28_r01_PREPARATORIA.pdf,3,4,"28 de febrero de 2011 Sesión preparatoria Pág. 3 – En la Ciudad Autónoma de Buenos Aires, "
2011-12-01_r00_p1,2011-12-01_r00,2011-12-01_r00_ASAMBLEA.pdf,1,6,REPÚBLICA ARGENTINA VERSIÓN TAQUIGRÁFICA ASAMBLEA LEGISLATIVA 1° de diciembre de 2011 Pres
2012-03-01_r00_p2,2012-03-01_r00,2012-03-01_r00_ASAMBLEA.pdf,2,41,1° de marzo de 2012 Versión provisional – Asamblea Legislativa Pág. 2 DIPUTADOS NACIONALES
2012-04-25_r04_p119,2012-04-25_r04,2012-04-25_r04_ESPECIAL.pdf,119,181,25 y 26 de abril de 2012 Sesión especial Pág. 119 Este elemento fundamental del que estamo
2013-05-22_r08_p152,2013-05-22_r08,2013-05-22_r08_ORDINARIA.pdf,152,150,“2013 - Año del Bicentenario de la Asamblea General Constituyente de 1813” 22 de mayo de 2
2013-12-04_r20_p18,2013-12-04_r20,2013-12-04_r20_ORDINARIA.pdf,18,50,“2013 - Año del Bicentenario de la Asamblea General Constituyente de 1813” 4 de diciembre 
2014-03-12_r02_p1,2014-03-12_r02,2014-03-12_r02_ORDINARIA.pdf,1,6,"""2014 -Año de Homenaje al Almirante Guillermo Brown, en el Bicentenario del Combate Naval "
2014-09-03_r13_p72,2014-09-03_r13,2014-09-03_r13_ESPECIAL.pdf,72,214,"""2014 -Año de Homenaje al Almirante Guillermo Brown, en el Bicentenario del Combate Naval "
2015-02-27_r01_p7,2015-02-27_r01,2015-02-27_r01_PREPARATORIA.pdf,7,12,“2015 - Año del Bicentenario del Congreso de los Pueblos Libres” 2 7 de febrero de 2015 Se
2015-12-03_r12_p11,2015-12-03_r12,2015-12-03_r12_ESPECIAL.pdf,11,16,“2015 - Año del Bicentenario del Congreso de los Pueblos Libres” 3 de diciembre de 2015 Se
