case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,confidence,opening_words,reader_notes
11,2005-09-07_r27,2005-09-07_r27_ORDINARIA.pdf,76,Sr. Presidente,Sr. Presidente. -,yes,yes,same-paragraph,high,Tiene la palabra el señor senador Menem.,"Clear verbatim match, immediately followed by the next speaker's own turn."
12,2005-11-02_r34,2005-11-02_r34_ORDINARIA.pdf,42,Sr. Presidente,Sr. Presidente. -,yes,yes,same-paragraph,medium,Queda aprobada la declaración. Se procederá en consecuencia.,"The exact phrase appears three times on this page, each preceded in the same paragraph by the identical label, so the answer is unambiguous even though the location is not unique."
13,2006-09-06_r21,2006-09-06_r21_ORDINARIA.pdf,26,Sr. Presidente (Pampuro),Sr. Presidente (Pampuro). -,yes,yes,same-paragraph,high,Tiene la palabra el señor senador Rossi.,"Appears once, directly under a numbered heading."
14,2006-11-29_r29,2006-11-29_r29_ORDINARIA.pdf,35,Sra. Escudero,Sra. Escudero. -,yes,yes,same-paragraph,high,El expediente CD 129/06 sobre modificación del artículo 23 de la ley derefinanciación de,The transcribed quote runs two words together but the content matches exactly.
15,2007-04-25_r05,2007-04-25_r05_ORDINARIA.pdf,22,Sr. Massoni,Sr. Massoni. -,yes,yes,same-paragraph,high,"Perdón, señor presidente. Voy a repetir los nombres de las personas o de los","The label opens a short paragraph, immediately followed with no new label by the indented continuation of the same turn."
16,2007-11-14_r14,2007-11-14_r14_ORDINARIA.pdf,9,Sr. Petcoff Naidenoff,Sr. Petcoff Naidenoff. -,yes,yes,same-paragraph,high,"Señor presidente: solicito el tratamiento con preferencia para lapróxima sesión, con dictamen de comisión,",Found under a numbered heading; a run-together word in the quote matches the printed text.
17,2008-07-16_r11,2008-07-16_r11_ORDINARIA.pdf,95,Sr. Presidente (Pampuro),Sr. Presidente (Pampuro). -,yes,yes,same-paragraph,high,Va a ser así.,"The very first line on the page, carrying its own label in the same paragraph."
18,2008-11-20_r20,2008-11-20_r20_ORDINARIA.pdf,87,Sr. Presidente (Pampuro),Sr. Presidente (Pampuro). -,yes,yes,same-paragraph,high,"Para una interrupción, tiene la palabra el señor senador PérezAlsina.",A single unambiguous paragraph.
19,2009-03-04_r02,2009-03-04_r02_ORDINARIA.pdf,42,Sr. Presidente (Marín),Sr. Presidente (Marin). -,yes,yes,earlier-same-page,high,En consideración en general.Tiene la palabra la señora senadora por Mendoza.,"The quoted words are the last two lines of the page, short indented lines with no label of their own; they continue the turn opened several lines above."
20,2009-12-02_r20,2009-12-02_r20_ORDINARIA.pdf,136,Sr. Presidente,Sr. Presidente. -,yes,yes,same-paragraph,high,Tiene la palabra el señor senador Pichetto.,"Appears once, clearly in the same paragraph; a similar-looking phrase elsewhere on the page is not the quoted text."
21,2010-04-28_r07,2010-04-28_r07_ORDINARIA.pdf,105,Sra. Estenssoro,Sra. Estenssoro. -,yes,yes,same-paragraph,high,"Como decía antes, hemos unificado proyectos de diversa índole. Hoy me llamó el senador",Quoted words open the paragraph immediately following the label; unambiguous.
22,2010-06-02_r10,2010-06-02_r10_ORDINARIA.pdf,4,Sr. Presidente (Pampuro),Sr. Presidente (Pampuro). -,yes,yes,same-paragraph,high,Queda abierta la conferencia. Corresponde considerar el proyecto de resolución por el que se,The first sentence is the label's own; the following one is an indented continuation of the same unbroken turn. A section heading appears just above but is not inside the paragraph.
23,2011-05-11_r06,2011-05-11_r06_INFORMATIVA_ESPECIAL.pdf,28,Sr. Jefe de Gabinete de Ministros,Sr. Jefe de Gabinete de Ministros. -,yes,yes,previous-page,high,esos lugares para elaborar el índice conforme lo acabo de explicar. De ahí la,No label appears above the quoted words on this page; the previous page shows this label governing an unbroken passage that continues onto it.
24,2011-06-01_r07,2011-06-01_r07_ORDINARIA.pdf,94,Sr. Romero,Sr. Romero. -,yes,yes,same-paragraph,high,Señor presidente: no quiero reiterar los fundamentos que ya dimos en la ocasión anterior,Label directly precedes quoted words.
25,2012-03-21_r03,2012-03-21_r03_ORDINARIA.pdf,138,Sr. Presidente (Juez),Sr. Presidente (Juez). -,yes,yes,same-paragraph,high,"Para una interrupción, tiene la palabra el senador Fernández.",Straightforward match.
26,2012-05-09_r05,2012-05-09_r05_ORDINARIA.pdf,51,Sr. Presidente,Sr. Presidente. -,yes,yes,same-paragraph,high,Senadora: le solicita una interrupción el señor senador Cano. ¿La acepta?,"A similar phrase recurs elsewhere on the page for a different interruption, but the quoted wording is unique."
27,2013-02-21_r24,2013-02-21_r24_EXTRAORDINARIA.pdf,19,Sr. Presidente,Sr. Presidente.-,yes,yes,same-paragraph,high,"Para una interrupción, tiene la palabra el señor senador Pichetto.",This document uses a plain hyphen after the label rather than an en dash.
28,2013-06-05_r10,2013-06-05_r10_INFORMATIVA_ESPECIAL.pdf,82,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,high,"No, no voy a aceptar interrupciones, señor presidente. Porque si no, me va a",Straightforward match.
29,2014-09-03_r13,2014-09-03_r13_ESPECIAL.pdf,306,Sr. Capitanich,Sr. Capitanich.-,yes,yes,same-paragraph,high,"Sí, le digo que ustedes mienten.","Page of many rapid turns; quoted words appear once, directly after the label. A footer at the page bottom is not part of the paragraph."
30,2014-12-10_r21,2014-12-10_r21_ORDINARIA.pdf,101,Sr. Presidente (Zamora),Sr. Presidente (Zamora).-,yes,yes,same-paragraph,high,Tiene la palabra el señor senador Fernández. ¿Le permite una interrupción al senador Solanas?,"Quoted text spans two printed lines with no new speaker label between them, so both belong to the same turn."
31,2015-04-15_r03,2015-04-15_r03_ORDINARIA.pdf,21,Sr. Morales,Sr. Morales.-,yes,yes,same-paragraph,high,"Sí, presidente, termino mi intervención desarrollando el tema del control. Lo que estamos haciendo",Label and quoted words appear together.
32,2015-07-29_r06,2015-07-29_r06_ORDINARIA.pdf,7,Sr. Presidente,Sr. Presidente.-,yes,yes,same-paragraph,high,Tiene la palabra la señora Negre de Alonso.,A single short turn.
33,2016-09-28_r15,2016-09-28_r15_INFORMATIVA_ESPECIAL.pdf,49,Sr. Presidente (Pinedo),Sr. Presidente (Pinedo).-,yes,yes,same-paragraph,high,"Gracias, señora senadora. Senadora Giménez, tiene la palabra.",Label and quote are the first line on the page.
34,2016-11-02_r17,2016-11-02_r17_ORDINARIA.pdf,106,Sr. Presidente (Pinedo),Sr. Presidente (Pinedo).-,yes,yes,same-paragraph,high,"Puede leerlo, si quiere.",Short turn embedded in a rapid back-and-forth exchange; unambiguous.
35,2017-03-29_r02,2017-03-29_r02_ORDINARIA.pdf,23,Sra. Negre de Alonso,Sra. Negre de Alonso.-,yes,yes,same-paragraph,high,"Gracias, señora presidente. Entré en el Senado en marzo de 2001 con la democracia",Label and quoted words appear together.
36,2017-05-31_r07,2017-05-31_r07_ORDINARIA.pdf,28,Sr. Cobos,Sr. Cobos.-,yes,yes,same-paragraph,high,Respecto del proyecto de la senadora Verasay y seguramente el proyecto de la senadora,Label and quoted words appear together.
37,2018-03-21_r02,2018-03-21_r02_ORDINARIA.pdf,82,Sra. Presidente,Sra. Presidente.-,yes,yes,previous-page,medium,"Afirmativos son 49, cero negativos. Por unanimidad.",Quoted words are the first line on the page with no label of their own; they continue the vote-announcement turn that opens at the bottom of the previous page.
38,2018-04-25_r04,2018-04-25_r04_ESPECIAL.pdf,5,Sr. Secretario (Tunessi),Sr. Secretario (Tunessi).-,yes,yes,same-paragraph,high,"Son los expedientes P.E.-112/18, por el que se solicita acuerdo para designar juez en",Label and quoted words appear together.
39,2019-05-22_r06,2019-05-22_r06_ESPECIAL.pdf,28,Sra. Presidente (Michetti),Sra. Presidente (Michetti).-,yes,yes,same-paragraph,high,"Gracias, secretario. Pasan a la Comisión de Acuerdos para su tratamiento.",First line on the page.
40,2019-11-13_r09,2019-11-13_r09_ESPECIAL.pdf,52,Sr. Presidente (Pinedo),Sr. Presidente (Pinedo).-,yes,yes,same-paragraph,high,"Señor senador, el senador Fuentes le pide una interrupción.",Precedes a short interruption exchange.
41,2020-05-13_r03,13-05-2020_ESPECIAL.pdf,60,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernandez de Kirchner).-,yes,yes,same-paragraph,high,"Gracias, señora senadora. Les comunico a todos y a todas que quedan cuatro oradores;",Quoted words immediately follow the label.
42,2020-09-16_r14,16-09-2020_ESPECIAL.pdf,78,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,high,Senadora Almirón: afirmativo. Senador Alperovich: ausente. Senador Basualdo: ausente. Senador Blanco: ausente. Senadora Blas:,A roll-call vote reading; the quoted sequence of names begins right after the label and continues as a list within the same turn.
43,2021-05-13_r05,13-05-2021_ESPECIAL.pdf,135,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,high,"Presidente, ¿me escucha?","Opening line of the turn, label immediately precedes."
44,2021-07-15_r10,15-07-2021_ESPECIAL.pdf,97,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,high,"Resulta aprobada. Tiene la palabra el miembro informante, senador Caserio.",Quoted words are the label's own sentence.
45,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,57,Sra. Presidenta (Losada),Sra. Presidenta (Losada).-,yes,yes,same-paragraph,high,"Gracias, senador. Tiene la palabra el senador Zimmermann.",Quoted words are the label's own sentence.
46,2022-09-01_r09,01-09-2022_ESPECIAL.pdf,71,Sr. Prosecretario (Tunessi),Sr. Prosecretario (Tunessi).-,yes,yes,same-paragraph,high,Proyectos de ley transfiriendo inmuebles y declaraciones varias. Orden del Día N° 73/22. Dictamen,Quoted words open the turn immediately after the label; the preceding turn explains he was asked to read.
47,2023-03-30_r02,30-03-2023_ESPECIAL.pdf,15,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,high,Termine.,Single-word turn interrupting another senator; label immediately precedes.
48,2023-12-13_r08,13-12-2023_ESPECIAL.pdf,25,Sra. Presidente (Villarruel),Sra. Presidente (Villarruel).-,yes,yes,same-paragraph,high,"Señora senadora nacional María Alejandra Vigo: ¿juráis a la Patria, por Dios y estos","Oath-administering formula; the printed label says Presidente, not Presidenta."
49,2024-08-22_r07,22-08-2024_ORDINARIA.pdf,79,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,high,"Si no hay observaciones, se va a practicar la votación en conjunto de todos","Above this paragraph is a list of declaration items with citations, but those are not inside the quoted paragraph itself."
50,2024-09-12_r09,12-09-2024_ORDINARIA.pdf,26,Sra. Di Tullio,Sra. Di Tullio.-,yes,yes,same-paragraph,high,"Con o sin despacho pidió. Entonces, hay que votar de acuerdo con lo que",The quoted words open one of several short back-and-forth turns on this page; label immediately precedes this specific instance.
