case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes,checked_by_hand_afterwards
11,2023-11-02_r00,02-11-2023_ASAMBLEA.pdf,8,Sra. Senadora Corpacci,Sra. Senadora Corpacci,yes,yes,earlier-on-page,none,high,"que representan el 36,78 por ciento del total de votos afirmativos válidamente emitidos. La","Label opens the turn near the top of p.8 (""Sra. Senadora Corpacci.- Muchas gracias.""); quoted words appear several paragraphs later on the same page, with no intervening bold label.",
12,2021-06-03_r08,03-06-2021_INFORMATIVA_ESPECIAL.pdf,28,Sra. Tapia,Sra. Tapia,yes,yes,same-paragraph,none,high,"Ya termino, presidente. Ministro: yo quisiera saber las razones de este cambio, y por","The quote starts in the label's own line (""Ya termino, presidente."") and continues into the immediately following indented continuation of the same turn (""Ministro: yo quisiera saber..."").",
13,2020-09-03_r13,03-09-2020_ESPECIAL.pdf,91,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes),yes,yes,same-paragraph,none,high,Gracias. ¿Senador Costa? Senador Costa: su voto. Costa: ausente. Senadora Crexell: el sentido de,Quoted words are the entire content of the label's paragraph.,
14,2020-09-03_r13,03-09-2020_ESPECIAL.pdf,152,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner),yes,yes,same-paragraph,none,high,"Le voy a conceder la palabra un minutito al señor secretario parlamentario, para una",Quoted words are the entire content of the label's paragraph.,
15,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,44,Sr. Presidente (Abdala),Sr. Presidente (Abdala),yes,yes,same-paragraph,none,high,"No interrumpamos, senadora. Si tenemos que estar cuatro horas, estaremos cuatro o doce, pero",Quoted words are the entire content of the label's paragraph.,
16,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,63,Sr. Pagotto,Sr. Pagotto,yes,yes,same-paragraph,none,high,"A eso iba, a eso iba.","Quoted words are the entire content of the label's paragraph, spoken right after another senator's interruption ends.",
17,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,71,Sr. Presidente (Abdala),Sr. Presidente (Abdala),yes,yes,same-paragraph,none,high,Seguimos con el orden del día: declaración de duelo nacional en homenaje a las,Quoted words are the entire content of the label's paragraph.,
18,2020-12-04_r26,04-12-2020_ESPECIAL.pdf,4,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner),yes,yes,same-paragraph,none,high,Invito al senador Antonio Rodas a izar el pabellón nacional y a mantenemos de,Quoted words are the entire content of the label's paragraph.,
19,2022-04-07_r03,07-04-2022_ESPECIAL.pdf,13,Sr. Mayans,Sr. Mayans,yes,yes,same-paragraph,none,high,"No, no, no. Por eso lo digo. Si hay una persona que no está","Quoted words are the entire content of the label's paragraph, spoken after a stage direction (""El señor senador Petcoff Naidenoff realiza manifestaciones fuera del alcance del micrófono."").",
20,2022-04-07_r03,07-04-2022_ESPECIAL.pdf,14,Sr. Mayans,Sr. Mayans,yes,yes,same-paragraph,none,high,"No, no dialoguemos. Tiene razón, presidenta.",Quoted words are the entire content of the label's paragraph.,
21,2022-04-07_r03,07-04-2022_ESPECIAL.pdf,48,Sra. Corpacci,Sra. Corpacci,yes,yes,same-paragraph,none,high,"…Solari Quintana – perdón, senadora– me parece que tiene de rico que contempla el","Quoted words are the entire content of the label's paragraph; the ellipsis marks that Corpacci's sentence, naming ""Solari Quintana,"" was interrupted mid-word by Sr. Weretilneck's one-word interjection just before her label.",
22,2023-12-07_r07,07-12-2023_ESPECIAL.pdf,10,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala),yes,yes,same-paragraph,none,high,Resultan aprobadas en los términos requeridos.,"Quoted words are the entire content of the label's paragraph, right after a ""-Se practica la votación a mano alzada."" stage direction.",
23,2021-04-08_r04,08-04-2021_ESPECIAL.pdf,82,Sr. Leavy,Sr. Leavy,yes,yes,same-paragraph,none,high,"Gracias, señor presidente. En primer lugar, quiero agradecerle a nuestro presidente de la Nación,",Quoted words are the entire content of the label's paragraph.,
24,2020-10-08_r17,08-10-2020_ESPECIAL.pdf,28,Sra. Giménez,Sra. Giménez,yes,yes,same-paragraph,none,high,"Gracias, señora presidenta. Para sumarme en los homenajes. Este día, 8 de octubre, es",Quoted words are the entire content of the label's paragraph.,
25,2020-10-08_r17,08-10-2020_ESPECIAL.pdf,53,Sr. Blanco,Sr. Blanco,yes,yes,same-paragraph,none,high,"¿Me escucha, presidenta?","An earlier ""Sr. Blanco.-"" paragraph on the same page reads differently (""Presidenta, la verdad es que...""); only this later, shorter paragraph matches the quoted words exactly, so it is not ambiguous.",
26,2020-10-08_r17,08-10-2020_ESPECIAL.pdf,57,Sra. Durango,Sra. Durango.-,yes,yes,same-paragraph,none,high,"… Sabemos de los avances en materia de género que tiene nuestro país, no","Quote follows an interruption (""¿Me escucha bien?"" / ""Sra. Presidenta (Ledesma Abdala).- Sí."") but the paragraph resumes with a fresh ""Sra. Durango.-"" label immediately before the quoted words.",
27,2021-12-09_r14,09-12-2021_ESPECIAL.pdf,5,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,¡Por favor!,"Short one-line turn, unambiguous.",
28,2021-12-09_r15,09-12-2021_ORDINARIA.pdf,12,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,Obra sobre las bancas el plan de labor aprobado en la reunión de labor,"Opening line of the page, unambiguous.",
29,2022-08-10_r08,10-08-2022_ESPECIAL.pdf,77,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,none,high,"Gracias, señora presidente. En realidad, estos pactos fiscales se vienen realizando desde hace tiempo",None.,
30,2023-12-10_r00,10-12-2023_ASAMBLEA.pdf,7,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,"Ah, perdón. Tiene razón el secretario parlamentario, me salteé la lectura de la resolución",None.,
31,2023-05-11_r04,11-05-2023_INFORMATIVA_ESPECIAL.pdf,56,Sr. Mayans,Sr. Mayans.-,yes,yes,previous-page,none,high,"Y yo creo que a usted tampoco, ministro. Pero ¿quién tiene ese poder –esto","Label ""Sr. Mayans.-"" printed on page 55; the same paragraph runs uninterrupted across the page break onto page 56, where the quoted words appear after an intervening ""(Risas.)"" stage direction (does not end the turn).",
32,2020-06-11_r06,11-06-2020_ESPECIAL.pdf,66,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senadora. Por Secretaría se dará lectura de los órdenes del día que vamos",None.,
33,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,20,Sra. Petcoff Naidenoff,Sra. Petcoff Naidenoff.-,yes,yes,same-paragraph,none,high,Lo planteé tranquilamente: contra la bancada del oficialismo.,None.,
34,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,20,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,¿Contra quién es la cuestión de privilegio?,None.,
35,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,83,Sra. Presidenta (Losada),Sra. Presidenta (Losada).-,yes,yes,same-paragraph,none,high,"Gracias, senadora. Tiene la palabra el senador Romero.",None.,
36,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,107,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"No dialoguen entre ustedes, por favor.",None.,
37,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,51,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senador Alfredo De Angeli. A continuación, tiene la palabra el senador Mariano Recalde.",None.,
38,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,118,Sra. Silva,Sra. Silva.-,yes,no,same-paragraph,none,medium,"Muchas gracias, señor presidente. Quiero comenzar rechazando toda forma de violencia. Verdaderamente, lo que","Page image ends right after ""Sra. Silva.- Muchas gracias, señor presidente."" The quoted words (""Quiero comenzar rechazando toda forma de violencia..."") do not appear anywhere on this page image; they would continue on the next page, which was not supplied. Reporting the closest (last) label on the page as instructed.",
39,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,145,Sra. Presidente (Villarruel),Sra. Presidente (Villarruel).-,yes,yes,same-paragraph,none,high,"Gracias, senador. Tiene la palabra el senador Juez.","Printed as ""Sra. Presidente"" (not ""Presidenta""); transcribed verbatim.",
40,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,232,Sr. Blanco,Sr. Blanco.-,yes,yes,same-paragraph,none,high,"Muchas gracias, presidente. En la discusión en comisión de este tema, firmé el dictamen",None.,
41,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,275,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,none,high,"Pero es ridículo, señor presidente.",None.,
42,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,285,Sr. Secretario (Giustinian),Sr. Secretario (Giustinian).-,yes,yes,same-paragraph,none,high,¿Se abstiene?,"""¿Se abstiene?"" appears only once on the page, under this label.",
43,2024-09-12_r09,12-09-2024_ORDINARIA.pdf,5,Sra. Presidente (Villarruel),Sra. Presidente (Villarruel).-,yes,yes,same-paragraph,none,high,Obra sobre las bancas el plan de labor acordado en la reunión de labor,"Printed as ""Sra. Presidente"" (not ""Presidenta""); transcribed verbatim.",
44,2024-09-12_r09,12-09-2024_ORDINARIA.pdf,8,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,"Sí, gracias, senadora. Tiene la palabra el senador Mayans.",None.,
45,2024-09-12_r09,12-09-2024_ORDINARIA.pdf,30,Sra. González,Sra. González.-,yes,yes,same-paragraph,none,high,"Muy buenas tardes, señor presidente. El motivo de la cuestión de preferencia es un",None.,
46,2024-09-12_r09,12-09-2024_ORDINARIA.pdf,135,Sr. Secretario (Giustinian),Sr. Secretario (Giustinian).-,yes,yes,same-paragraph,none,high,"Resultado: 56 votos afirmativos, 11 negativos, una abstención.","A corrected tally (""57 afirmativos, 10 negativos..."") appears immediately after under the same label; the quoted figures are the first-reported result.",
47,2020-11-12_r22,12-11-2020_ESPECIAL.pdf,99,Sr. Romero,Sr. Romero.-,yes,yes,same-paragraph,none,high,Todas las variables que este presupuesto –o este proyecto de presupuesto– proclama para el,"""Sr. Romero.-"" appears three times in quick succession on the page (short exchanges), then a fourth time introducing this longer paragraph containing the quoted words.",
48,2024-12-12_r12,12-12-2024_ESPECIAL.pdf,24,Sr. De Angeli,Sr. De Angeli.-,yes,yes,same-paragraph,none,high,"Mirá, mirá… ¿Saben esto? ¿Saben esto? Ven esta foto, ¿no? ¿Ven esta foto?",None.,
49,2024-12-12_r12,12-12-2024_ESPECIAL.pdf,26,Sra. Pilatti Vergara,Sra. Pilatti Vergara.-,yes,yes,same-paragraph,none,high,"Gracias, presidenta. La verdad es que estoy cansada y me agito de escuchar la",None.,
50,2023-04-13_r03,13-04-2023_ORDINARIA.pdf,16,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,Disculpe senador. Usted está contestando… No se pueden contestar las cuestiones de privilegio.,None.,
51,2023-04-13_r03,13-04-2023_ORDINARIA.pdf,69,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senadora. La última oradora, senadora Corpacci.","Quoted words are the second sentence of the paragraph, right after ""Gracias, senadora.""",
52,2021-05-13_r05,13-05-2021_ESPECIAL.pdf,45,Sra. Giacoppo,Sra. Giacoppo.-,yes,yes,same-paragraph,none,high,"Negativo, señor secretario.","Exact phrase ""Negativo, señor secretario."" appears under Sra. Giacoppo's label; a different senator's ""Afirmativo, señor secretario."" appears elsewhere on the page but is not this quote.",
53,2021-05-13_r05,13-05-2021_ESPECIAL.pdf,60,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senador. Tiene la palabra senador Doñate.","Quoted words are the whole paragraph (""Gracias, senador. / Tiene la palabra senador Doñate."").",
54,2020-08-13_r11,13-08-2020_ESPECIAL.pdf,95,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Después sigue usted, senador Romero. La lista está así.",Quoted words are the whole paragraph.,
55,2020-08-13_r11,13-08-2020_ESPECIAL.pdf,105,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Sí, por supuesto; le he dado la palabra a usted.",None.,
56,2020-08-13_r11,13-08-2020_ESPECIAL.pdf,109,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,"Gracias, senadora. Senador Montenegro: afirmativo. Senador Neder: afirmativo. Senadora Olalla: afirmativo. Senador Pais: afirmativo.","""Gracias, senadora."" plus the four vote lines that follow are all part of the same Secretario turn (roll-call reading), no new bold label intervenes.",
57,2020-08-13_r11,13-08-2020_ESPECIAL.pdf,139,Sr. Schiavoni,Sr. Schiavoni.-,yes,yes,same-paragraph,none,high,"Negativo, señor secretario.","Other similar-sounding negatives on the page (""Negativo, presidente""/""Negativo, señor Fuentes"" by Petcoff Naidenoff; ""Negativo, secretario"" by Poggi) do not match the exact wording ""Negativo, señor secretario."" — only Schiavoni's line matches verbatim.",
58,2023-12-13_r08,13-12-2023_ESPECIAL.pdf,13,Sra. Presidente (Villarruel),Sra. Presidente (Villarruel).-,yes,yes,same-paragraph,none,high,"Les pido, por favor, que no interrumpamos al senador. Cada uno tuvo derecho de",Quoted words are the whole paragraph.,
59,2023-12-13_r08,13-12-2023_ESPECIAL.pdf,21,Sr. Andrada,Sr. Andrada.-,yes,yes,same-paragraph,none,high,No. Señora presidenta…,"The paragraph reads ""No. / Señora presidenta…"" under this label.",
60,2024-05-15_r04,15-05-2024_INFORMATIVA_ESPECIAL.pdf,54,Sra. Giménez Navarro,Sra. Giménez Navarro.-,yes,yes,same-paragraph,none,high,Buenas tardes a todos y a todas; bienvenido al señor jefe de Gabinete. Viniendo,Quoted words open the paragraph.,
61,2024-05-15_r04,15-05-2024_INFORMATIVA_ESPECIAL.pdf,71,"Sra. López, María Florencia","Sra. López, María Florencia.-",yes,yes,same-paragraph,none,high,"Permítame. Aparte de eso, y esto es muy importante porque yo quiero que usted","Quoted words are ""Permítame."" followed immediately by ""Aparte de eso..."", both in the same paragraph after a stage direction ""(Manifestaciones fuera del alcance del micrófono.)"" that does not break the turn.",
62,2021-07-15_r10,15-07-2021_ESPECIAL.pdf,12,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,none,high,En el Salón Gris.,"Full paragraph is just ""En el Salón Gris.""",
63,2021-07-15_r10,15-07-2021_ESPECIAL.pdf,26,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,"Ausente. No es mi día hoy, evidentemente.","Paragraph reads ""Ausente. / No es mi día hoy, evidentemente. (Risas.)"" — the ""(Risas.)"" stage direction does not end the turn.",
64,2021-07-15_r10,15-07-2021_ESPECIAL.pdf,70,Sra. López Valverde,Sra. López Valverde.-,yes,yes,same-paragraph,none,high,"Gracias, señor presidente. Para mí, esta es una tarde muy importante y estamos dando",Quoted words open the paragraph.,
65,2021-07-15_r10,15-07-2021_ESPECIAL.pdf,96,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,Se comunica a la Cámara de Diputados.,"Full paragraph is just ""Se comunica a la Cámara de Diputados.""",
66,2021-07-15_r10,15-07-2021_ESPECIAL.pdf,109,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,medium,Senadora Giménez: ¿su voto?,"""Senadora Giménez: ¿su voto?"" is printed twice in a row on this page — first as a plain (non-bold) roll-call line inside the ongoing Secretario turn, then repeated after ""-Luego de unos instantes:"" under an explicit new ""Sr. Secretario (Fuentes).-"" label. Both instances are the same speaker, so the label text is unambiguous, but I flag the duplication since the brief asks me to.",
67,2021-07-15_r10,15-07-2021_ESPECIAL.pdf,123,Sra. Elías de Perez,Sra. Elías de Perez.-,yes,yes,same-paragraph,none,high,"… distintos compromisos ambientales en el mundo que iban, justamente, en consonancia con esta","This is a repeated label after a ""-Contenido no inteligible."" interruption; printed as ""Sra. Elías de Perez.-…"" with the ellipsis immediately preceding the quoted words.",
68,2021-07-15_r10,15-07-2021_ESPECIAL.pdf,139,Sr. Presidente (Closs),Sr. Presidente (Closs).-,yes,yes,same-paragraph,none,high,"No me duplique el tiempo, por favor, senadora. Gracias.",Quoted words are the whole paragraph.,
69,2021-07-15_r10,15-07-2021_ESPECIAL.pdf,169,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,Se cierra la votación.,"Full paragraph is just ""Se cierra la votación.""",
70,2020-10-15_r18,15-10-2020_ORDINARIA.pdf,40,Sr. Marino,Sr. Marino.-,yes,yes,same-paragraph,none,high,"...Santa Rosa, donde no tiene ningún tipo de información, cero información. Porque si bien","This label reopens the senator's turn after a ""-Contenido no inteligible."" interruption; the quote begins right after the ellipsis that follows the label.",
71,2022-03-17_r02,17-03-2022_ESPECIAL.pdf,121,Sr. Mayans,Sr. Mayans.-,yes,yes,previous-page,"running head at the page break (""17 de marzo de 2022 / Sesión especial / Pág. 121"")",high,Ella quería ser la embajadora o canciller acá. Díganme una cosa: ¿es elegante el,"Label is printed only on page 120; the turn continues uninterrupted (through several ""(Risas.)"" stage directions and the page break) onto page 121, where the quoted words appear. No new bold label appears before the quote on page 121.",
72,2024-04-18_r03,18-04-2024_ORDINARIA.pdf,32,Sra. Presidente (Villarruel),Sra. Presidente (Villarruel).-,yes,yes,same-paragraph,none,high,"Aprobadas. Propongo que se vote, en general y en particular, en una sola votación,","Paragraph reads ""Aprobadas. / Propongo que se vote, en general y en particular, en una sola votación, por medios electrónicos...""",
73,2021-05-20_r06,20-05-2021_ESPECIAL.pdf,17,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Resulta aprobada. Tiene la palabra, senador Rodríguez Saá.","Paragraph reads ""Resulta aprobada. / Tiene la palabra, senador Rodríguez Saá.""",
74,2021-05-20_r06,20-05-2021_ESPECIAL.pdf,119,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,"Autorización para todo… Bueno, ahora sí podemos lanzar la votación. Se lanza… Sí, claro,","Paragraph reads ""Autorización para todo… / Bueno, ahora sí podemos lanzar la votación. Se lanza… Sí, claro, en una sola votación...""",
75,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Vamos a continuar llamando durante cinco minutos más.,"This is an older (2000) preparatory-session record printed with all-caps speaker surnames (e.g. ""Sr. PRESIDENTE.-"", ""Sr. SALA.-""), unlike the later sessions' mixed-case labels; transcribed exactly as printed.",
76,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,3,Sr. SALA,Sr. SALA.-,yes,yes,same-paragraph,none,high,"Que se llame durante cinco minutos más, señor presidente.","Straightforward, single paragraph on p0003.",
77,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,4,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Con treinta y ocho senadores presentes queda abierta la sesión preparatoria.,"Opening line of the sesión preparatoria, first paragraph on p0004.",
78,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Con respecto a la moción del señor senador Galván, correspondería efectuar votación nominal. A",None.,
79,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Si hay asentimiento, se procederá de acuerdo con la moción del señor senador Ulloa.","Followed by the italicized stage direction ""-Asentimiento."" on the next line, but that line is outside this paragraph.",
80,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,5,Sr. ROMERO FERIS,Sr. ROMERO FERIS.-,yes,yes,same-paragraph,none,high,Señor presidente: apoyo la moción formulada por el señor senador Ulloa.,None.,
81,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,6,Sr. ALASINO,Sr. ALASINO.-,yes,yes,same-paragraph,none,high,Señor presidente: pido la palabra para una aclaración.,None.,
82,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,6,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Señor senador Ruggero Preto: ¿Juráis a la Patria, por Dios y estos Santos Evangelios,","Preceded by the italic stage direction ""-Puestos de pie los señores senadores y el público:"" on its own line, not inside this paragraph.",
83,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,7,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,(Aplausos.),medium,"Si así no lo hiciereis, Dios y la Patria os lo demanden.","Ambiguous — the exact same sentence ""Si así no lo hiciereis, Dios y la Patria os lo demanden."" is printed twice on p0007 (after Cafiero's and after Genoud's oath), both times under the identical label Sr. PRESIDENTE.-. Reporting the first (Cafiero) occurrence; the label is the same either way.",
84,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,7,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,(Aplausos.),medium,"Si así no lo hiciereis, Dios y la Patria os lo demanden.","Ambiguous — same duplicated sentence as case 83, on the same page; reporting the second (Genoud) occurrence, but the label is identical in both places.",
85,2000-02-23_r01,2000-02-23_r01_PREPARATORIA.pdf,7,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,"Señor senador José Genoud: ¿Juráis a la Patria, por Dios y estos Santos Evangelios,","Printed with no space between the label and the following word (""Sr. PRESIDENTE.-Señor senador José Genoud""), a spacing quirk of this page, not a different label.",
86,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,5,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,yes,same-paragraph,none,high,Queda abierta la sesión de la Asamblea Legislativa convocada a los fines previstos por,"Opening line of the Asamblea Legislativa session, p0005.",
87,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,6,Sr. PRESIDENTE DE LA NACIÓN,Sr. PRESIDENTE DE LA NACIÓN.-,yes,yes,same-paragraph,none,high,Señor vicepresidente de la Nación y presidente de esta Honorable Asamblea; señor presidente provisional,None.,
88,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,8,Sr. PRESIDENTE DE LA NACIÓN,Sr. PRESIDENTE DE LA NACIÓN.-,yes,no,previous-page,(Manifestaciones y aplausos en las bancas y en las galerías.),low,Y tengo un mensaje para los contrabandistas: tienen en mí a un acérrimo enemigo.,"The quoted words (""Y tengo un mensaje para los contrabandistas..."") do not appear anywhere in the three supplied images (p0006–p0008); the tax-evasion paragraph on p0008 ends with ""(Manifestaciones y aplausos en las bancas y en las galerías.)"" and the ""contrabandistas"" line evidently begins the very next paragraph, which is not among the supplied pages. Reporting the label that governs the whole unbroken speech across the given pages as the closest.","parser right on the speaker — but the quoted words are printed on page 9, not on page 8 as the brief said: the turn's block carries a page-8 fragment that later cleaning removed, so the page recorded for it is one earlier than where its first words appear. A fault in the locator, not in the attribution."
89,2000-03-01_r00,2000-03-01_r00_ASAMBLEA.pdf,8,Sr. PRESIDENTE DE LA NACIÓN,Sr. PRESIDENTE DE LA NACIÓN.-,yes,yes,previous-page,(Manifestaciones y aplausos en las bancas y en las galerías.),high,"Por eso, señores legisladores, será mejor que avisen en sus provincias que este gobierno",Quote found on p0008 (last supplied image); label was printed on p0006 and never changes across the intervening pages.,
