case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes,checked_by_hand_afterwards
11,2022-06-02_r06,02-06-2022_INFORMATIVA_ESPECIAL.pdf,39,Sr. Jefe de Gabinete de Ministros (Manzur),Sr. Jefe de Gabinete de Ministros (Manzur).-,yes,yes,same-paragraph,none,high,"Nosotros tenemos las herramientas para seguir adelante, pero, digo, también nos tenemos que hacer","Several turns with this same label appear on the page; the quoted words open the one after ""Sra. Presidenta (Losada).- Senador, no se puede.""",
12,2020-10-02_r15,02-10-2020_ESPECIAL.pdf,30,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Continuemos con el Orden del Día. Secretario: por favor, lea.","Turn opens right below the bold section title ""10. Convenio de Transferencia Progresiva de Facultades y Funciones de Seguridad...(Continuación.)""; the quote runs into the next line ""Secretario: por favor, lea.""",
13,2020-10-02_r15,02-10-2020_ESPECIAL.pdf,77,"Sr. Martínez, Ernesto","Sr. Martínez, Ernesto.-",yes,yes,same-paragraph,none,high,"...que lo que hablaba la señora vicepresidenta de la Nación. Finalmente, el oficialismo se","Second turn with this label on the page, resuming after ""-Contenido no inteligible.""; the quote continues into the following paragraph ""Finalmente, el oficialismo se cura en salud...""",
14,2020-10-02_r15,02-10-2020_ESPECIAL.pdf,144,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,"Muchas gracias, señora senadora. Vamos a escuchar al miembro informante, el senador Luenzo, que",Quote spans the label paragraph and the following line of the same turn about the miembro informante.,
15,2023-11-02_r00,02-11-2023_ASAMBLEA.pdf,7,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,"Invito a la señora presidenta de la Cámara de Diputados, diputada Cecilia Moreau, a","Turn sits under the bold section title ""1. Izamiento de la bandera nacional. Entonación del Himno Nacional Argentino"".",
16,2021-06-03_r08,03-06-2021_INFORMATIVA_ESPECIAL.pdf,55,Sr. Taiana,Sr. Taiana.-,yes,yes,same-paragraph,none,high,"Muchas gracias, señora presidenta. Primero, quiero agradecer la presencia del jefe de Gabinete y","Label paragraph reads ""Sr. Taiana.- Muchas gracias, señora presidenta.""; the quote continues into the next paragraph of the same turn.",
17,2021-06-03_r08,03-06-2021_INFORMATIVA_ESPECIAL.pdf,78,Sr. Petcoff Naidenoff,Sr. Petcoff Naidenoff.-,yes,yes,same-paragraph,none,high,¿No salió el decreto? Yo pensé que los funcionarios del Poder Ejecutivo estaban habilitados,"Third turn with this label on the page; quote spans the label paragraph and the following one, ""Yo pensé que los funcionarios del Poder Ejecutivo estaban habilitados para vacunarse…""",
18,2020-09-03_r13,03-09-2020_ESPECIAL.pdf,91,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,"Gracias, senadora. Senador Espínola: afirmativo. Senadora Fernández Sagasti: afirmativo. Senador Fiad: su voto.","The page prints many turns with this label; the roll-call lines Espínola / Fernández Sagasti / Fiad identify the one that opens ""Gracias, senadora."" after Sra. Elías de Perez.",
19,2020-09-03_r13,03-09-2020_ESPECIAL.pdf,92,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,"Gracias, senadora. Senador Rodríguez Saá: afirmativo. Senador Romero: ausente. Senadora Sacnun: afirmativo. Senadora Sapag:",Same label recurs throughout the roll call; the Rodríguez Saá / Romero / Sacnun / Sapag lines pin it to the turn following Sra. Rodríguez Machado.,
20,2020-09-03_r13,03-09-2020_ESPECIAL.pdf,94,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,"Lista de oradores: García Larraburu; Lousteau; Mirkin; Cobos; Caserio; González; González, María Teresa; Schiavoni;","Printed as ""Sr. Secretario (Fuentes).- Lista de oradores: García Larraburu; Lousteau; ...""",
21,2021-02-04_r29,04-02-2021_EXTRAORDINARIA.pdf,32,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Bien. Con 66 votos afirmativos, 0 negativos, 1 abstención resultan aprobados los acuerdos y","Turn follows the italic line ""-El resultado de la votación surge del Acta Nº 1.""",
22,2020-06-04_r05,04-06-2020_ESPECIAL.pdf,52,Sra. Sacnun,Sra. Sacnun.-,yes,yes,same-paragraph,none,high,"Gracias, presidenta. Quiero decirle, señora presidenta, que realmente lamento profundamente la actitud y la","Label paragraph reads ""Sra. Sacnun.- Gracias, presidenta.""; the quote continues into the next paragraph of the same turn.",
23,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,11,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,"Por favor, no dialoguen entre ustedes. Diríjanse a la Presidencia. La Presidencia va a","Quote spans the label paragraph and the following one, ""La Presidencia va a resolver cuándo va a ser la próxima sesión, senador.""",
24,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,13,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,none,high,En la moción concreta del ultraoficialista Vischi se dijo con o sin despacho de,"Page has many short alternating turns; only this one reads ""En la moción concreta del ultraoficialista Vischi se dijo con o sin despacho de comisión.""",
25,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,32,Sra. Prosecretaria (Martínez),Sra. Prosecretaria (Martínez).-,yes,yes,same-paragraph,none,high,"Expediente P.E. 50/24, mensaje N° 41/24, que solicita acuerdo para designar director del Banco","Sits between two ""Sr. Presidente (Abdala)"" turns under the section title ""9. Mensaje del Poder Ejecutivo nacional solicitando acuerdo"".",
26,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,36,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,"Adelante, senador Mayans. Tiene la palabra.","""Adelante, senador Mayans."" sits on the label line; ""Tiene la palabra."" is the indented continuation of the same turn, before the next label (Sr. Mayans.-).",
27,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,49,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,"Senador Pagotto, ¿ha solicitado la palabra?",Second-to-last line of the page; next label is Sr. Pagotto.-.,
28,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,57,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,Tiene la palabra el senador Paoltroni.,One-line turn between the Romero turn and the Paoltroni turn.,
29,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,64,Sr. Pagotto,Sr. Pagotto.-,yes,yes,same-paragraph,none,high,¡Tengo que dar explicaciones porque acá se habla como si esto hubiera aparecido por,"Turn opens the page; printed text continues ""...por generación espontánea!"".",
30,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,68,Sr. Romero,Sr. Romero.-,yes,yes,same-paragraph,none,high,Aquí está fresco el recuerdo de cuando en Diputados La Libertad Avanza pidió que,Label immediately precedes the quoted words.,
31,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,69,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senadora García Larraburu. Tiene la palabra el senador Fama.","""Tiene la palabra el senador Fama."" is the indented second line of the same turn, before the Sr. Fama.- label.",
32,2024-07-04_r06,04-07-2024_ESPECIAL.pdf,71,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,Perdón: aprobada la moción del senador Mayans. Vuelve a la comisión por el articulado,"Continuation line reads ""Vuelve a la comisión por el articulado correspondiente.""",
33,2020-12-04_r26,04-12-2020_ESPECIAL.pdf,48,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senador. Tiene la palabra senador Lousteau.","Page prints ""Presidenta"" with final a here.",
34,2020-12-04_r26,04-12-2020_ESPECIAL.pdf,103,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,"Gracias, señor senador. Tiene la palabra, como oradora de cierre por el oficialismo, la","Continuation names ""la senadora Anabel Fernández Sagasti""; next label is Sra. Fernández Sagasti.-.",
35,2020-02-05_r12,05-02-2020_ESPECIAL_EXTRAORDINARIA.pdf,25,Sra. Mirkin,Sra. Mirkin.-,yes,yes,same-paragraph,none,high,¿Cómo qué tiene que ver? Estoy preguntando. ¿Qué? ¿Se inscribe por interpósito senador o,Label immediately precedes the quoted words.,
36,2020-02-05_r12,05-02-2020_ESPECIAL_EXTRAORDINARIA.pdf,28,Sra. Vega,Sra. Vega.-,yes,yes,previous-page,none,high,"planteándoles, por ejemplo, la autovía para la ruta nacional 38 que une La Rioja","Last label before the quote is on printed page 25 (""Sra. Vega.- Gracias, señora presidenta.""); pages 26 and 27 carry no label, and the quoted words open page 28.",
37,2020-11-05_r21,05-11-2020_ESPECIAL.pdf,43,Sr. Prosecretario (Tunessi),Sr. Prosecretario (Tunessi).-,yes,yes,same-paragraph,none,high,"Gracias, senador. Senadora Solari Quintana: ausente. Senadora Tagliaferri: gracias, senadora. Afirmativo. Senador Taiana: afirmativo.","Printed roll-call reads ""Senadora Tagliaferri: gracias, senadora. Afirmativo."" on its own indented line.",
38,2020-11-05_r21,05-11-2020_ESPECIAL.pdf,59,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,Aprobado. Tiene la palabra senador Taiana.,"""Aprobado."" on the label line; ""Tiene la palabra senador Taiana."" is the indented continuation.",
39,2022-04-07_r03,07-04-2022_ESPECIAL.pdf,44,Sr. Yedlin,Sr. Yedlin.-,yes,yes,same-paragraph,none,high,Señor presidente: la verdad que celebro que estemos preocupados por la Justicia y que,Label immediately precedes the quoted words.,
40,2022-04-07_r03,07-04-2022_ESPECIAL.pdf,45,Sra. Presidenta (Losada),Sra. Presidenta (Losada).-,yes,yes,same-paragraph,none,high,"Muchas gracias, senador. Tiene la palabra la senadora Carmen Álvarez Rivero.",Second line of the turn names Carmen Álvarez Rivero; next label is Sra. Álvarez Rivero.-.,
41,2022-04-07_r03,07-04-2022_ESPECIAL.pdf,65,Sra. Presidenta (Losada),Sra. Presidenta (Losada).-,yes,yes,same-paragraph,none,high,"Gracias, senador. Tiene la palabra el senador Luis Naidenoff.",Next label is Sr. Petcoff Naidenoff.-.,
42,2021-04-08_r04,08-04-2021_ESPECIAL.pdf,78,Sr. Presidente (Closs),Sr. Presidente (Closs).-,yes,yes,same-paragraph,none,high,"Está arriba de once minutos, senadora. ¿Me ayuda con el tiempo?",Near the foot of the page; next label is Sra. Elías de Perez.-.,
43,2020-10-08_r17,08-10-2020_ESPECIAL.pdf,4,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,"De conformidad con el artículo 187 del reglamento, se da ingreso por intranet a","Under the bold section title ""3. Asuntos entrados"", which is furniture outside the paragraph.",
44,2020-10-08_r17,08-10-2020_ESPECIAL.pdf,78,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,"Jorge Taiana, Julio Cobos, Antonio Rodas, Beatriz Mirkin y María de los Ángeles Sacnun.",Reading of the speakers list; label immediately precedes the names.,
45,2021-12-09_r15,09-12-2021_ORDINARIA.pdf,29,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,Resultan aprobadas las mociones de preferencia.,"Follows the stage direction ""-Se practica la votación a mano alzada."", which does not carry a label.",
46,2021-12-09_r15,09-12-2021_ORDINARIA.pdf,77,Sr. Prosecretario (Tunessi),Sr. Prosecretario (Tunessi).-,yes,yes,same-paragraph,none,high,Orden del Día N° 722/21. Dictamen en el proyecto de ley del señor senador,"Last turn on the page; an earlier Tunessi turn on the same page also lists órdenes del día, but only this one carries N° 722/21.",
47,2022-08-10_r08,10-08-2022_ESPECIAL.pdf,8,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,Bien. Tiene la palabra el senador Naidenoff.,"""Bien."" on the label line; ""Tiene la palabra el senador Naidenoff."" is the indented continuation.",
48,2022-08-10_r08,10-08-2022_ESPECIAL.pdf,10,Sra. Presidenta (Fernández de Kirchner),Sra. Presidenta (Fernández de Kirchner).-,yes,yes,same-paragraph,none,high,"Para una aclaración de la aclaración de la aclaración, tiene la palabra la senadora","Continuation names ""la senadora Fernández Sagasti""; next label is Sra. Fernández Sagasti.-.",
49,2022-08-10_r08,10-08-2022_ESPECIAL.pdf,23,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senador. Continúe, senadora Di Tullio.","""Gracias, senador."" on the label line; ""Continúe, senadora Di Tullio."" is the indented continuation.",
50,2022-08-10_r08,10-08-2022_ESPECIAL.pdf,41,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Resulta aprobada la lista de oradores. Tiene la palabra, senador Guerra.","""Tiene la palabra, senador Guerra."" is the indented continuation before the Sr. Guerra.- label.",
51,2022-08-10_r08,10-08-2022_ESPECIAL.pdf,45,Sr. Zimmermann,Sr. Zimmermann.-,yes,yes,same-paragraph,none,high,"Gracias, presidenta. Bueno, yo creo que para analizar este proyecto es necesario que nos","Label opens the turn with ""Gracias, presidenta.""; the ""Bueno, yo creo que..."" sentence is the next paragraph of the same turn.",
52,2022-08-10_r08,10-08-2022_ESPECIAL.pdf,83,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"¿Alguien más va a aclarar el sentido del voto…? Queda constancia por Secretaría. Propongo,","Label opens the turn; ""Queda constancia por Secretaría."" and ""Propongo, entonces..."" continue the same turn.",
53,2020-12-10_r27,10-12-2020_ESPECIAL.pdf,73,"Sra. González, Nancy","Sra. González, Nancy.-",yes,yes,same-paragraph,none,high,"Esta es una abuela en la plaza del 2017; una abuela que estaba reclamando,","Label reprinted after the stage direction ""-Se exhibe una fotografía."" and governs the quoted words directly.",
54,2021-03-11_r02,11-03-2021_ESPECIAL.pdf,7,Sr. Secretario (Fuentes),Sr. Secretario (Fuentes).-,yes,yes,same-paragraph,none,high,Doñate: afirmativo. Durango: afirmativo. Duré: afirmativo. Elías de Perez: afirmativo. Espínola: afirmativo. Fernández Sagasti:,"Roll-call block opens ""Sr. Secretario (Fuentes).- Doñate: afirmativo."" and the following names are continuation lines of that turn.",
55,2021-03-11_r02,11-03-2021_ESPECIAL.pdf,28,Sra. Rodríguez Machado,Sra. Rodríguez Machado.-,yes,yes,same-paragraph,none,high,Sí. Pero yo dije que el pedido de presencia del ministro Cafiero era con,Label opens the paragraph containing the quoted words.,
56,2023-05-11_r04,11-05-2023_INFORMATIVA_ESPECIAL.pdf,4,Sr. Lousteau,Sr. Lousteau.-,yes,yes,same-paragraph,none,high,Deberían haber aprendido economía también.,"One-line turn: ""Sr. Lousteau.- Deberían haber aprendido economía también.""",
57,2023-05-11_r04,11-05-2023_INFORMATIVA_ESPECIAL.pdf,35,Sr. Jefe de Gabinete de Ministros,Sr. Jefe de Gabinete de Ministros.-,yes,yes,same-paragraph,none,high,"Así que, sin ninguna duda, el debate tiene que ser, a mi criterio, muchísimo","Label opens the paragraph; page prints ""muchísimo más completo.""",
58,2023-05-11_r04,11-05-2023_INFORMATIVA_ESPECIAL.pdf,53,Sr. Petcoff Naidenoff,Sr. Petcoff Naidenoff.-,yes,yes,same-paragraph,none,high,"Muchas gracias, presidente. Bueno, gracias ministro por estar en este recinto y dar la","Label opens with ""Muchas gracias, presidente.""; the ""Bueno, gracias ministro..."" sentence is the next paragraph of the same turn.",
59,2023-05-11_r04,11-05-2023_INFORMATIVA_ESPECIAL.pdf,63,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Bien, muchas gracias. No habiendo más asuntos que tratar y habiendo cumplimentado con el","Label opens with ""Bien, muchas gracias.""; the closing sentence continues the same turn.",
60,2020-06-11_r06,11-06-2020_ESPECIAL.pdf,27,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senador. Tiene la palabra la palabra la senadora Elías de Perez.","Page prints the duplicated wording ""Tiene la palabra la palabra la senadora Elías de Perez."" exactly as quoted.",
61,2020-03-12_r02,12-03-2020_ESPECIAL.pdf,65,Sr. Lousteau,Sr. Lousteau-,yes,yes,same-paragraph,none,medium,Los jueces van a cobrar lo mismo.,"The page prints the label without the usual period, as ""Sr. Lousteau-"" followed by the quoted interjection; name itself is unambiguous.",
62,2020-03-12_r02,12-03-2020_ESPECIAL.pdf,68,Sr. Romero,Sr. Romero.-,yes,yes,previous-page,none,high,"Somos reconvertidos. Muchos ya, que somos grandes, somos reconvertidos, y estamos contentos de estar",Last label is on printed page 66 (after the stage direction about Cristina Fernández de Kirchner taking the chair); pages 67 and 68 carry no new label.,
63,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,9,Sra. González Riollo,Sra. González Riollo.-,yes,yes,same-paragraph,none,high,Coincido que en este Senado tiene que primar el diálogo y las buenas prácticas.,"Page prints ""Coincido que en este Senado tiene que primar el diálogo y las buenas prácticas.""",
64,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,10,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"¿O quiere contestar? Porque no puede contestar la cuestión de privilegio, senadora.",Label opens the paragraph with the quoted question.,
65,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,17,Sr. Parrilli,Sr. Parrilli.-,yes,yes,same-paragraph,none,high,"…a decir que el mandato de Cristina Kirchner, en 2015, vencía doce horas antes.","Label reprinted after the chair's ""Silencio, por favor."" and opens the paragraph with the quoted words.",
66,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,17,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senadora. Pasa a la Comisión de Asuntos Constitucionales para su consideración.","Turn opens at the top of the page with ""Gracias, senadora."" and continues ""Pasa a la Comisión de Asuntos Constitucionales para su consideración. (Aplausos.)"".",
67,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,21,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,none,high,"Sí hablé por teléfono con él, porque me preguntó si yo había escrito en",Label is the first line of the page and opens the quoted sentence.,
68,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,27,Sr. Yedlin,Sr. Yedlin.-,yes,yes,same-paragraph,none,high,"Muchas gracias, señora presidenta. Hoy, 12 de mayo, Día Internacional del Enfermero y de","Label opens with ""Muchas gracias, señora presidenta.""; the ""Hoy, 12 de mayo..."" sentence is the next paragraph of the same turn.",
69,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,31,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senadora. Por último, tiene la palabra la senadora Duré.","Label opens with ""Gracias, senadora.""; ""Por último, tiene la palabra la senadora Duré."" continues the same turn.",
70,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,40,Sra. Presidenta (Ledesma Abdala),Sra. Presidenta (Ledesma Abdala).-,yes,yes,same-paragraph,none,high,"Bien. Entonces, tiene la palabra el miembro informante, también único orador, senador Rodríguez Saá.","Label opens with ""Bien.""; ""Entonces, tiene la palabra el miembro informante..."" continues the same turn.",
71,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,68,Sra. Terenzi,Sra. Terenzi.-,yes,yes,same-paragraph,none,high,"Muchas gracias, señora presidenta. Buenas tardes. Voy a ser muy breve. En principio, quiero","Label opens with ""Muchas gracias, señora presidenta. Buenas tardes.""; ""Voy a ser muy breve..."" continues the same turn.",
72,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,69,Sra. Giménez,Sra. Giménez.-,yes,yes,same-paragraph,none,high,"Gracias, señora presidenta. En la sesión del 17 de marzo, en este mismo recinto,","Label opens with ""Gracias, señora presidenta.""; the ""En la sesión del 17 de marzo..."" sentence continues the same turn.",
73,2022-05-12_r04,12-05-2022_ESPECIAL.pdf,85,Sr. Romero,Sr. Romero.-,yes,yes,same-paragraph,none,high,"Es que la distinguida senadora –no la critico, senadora–, tiene una voz muy potente","Page prints ""no la critico"" (without accent) inside the quoted sentence.",
74,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,83,Sra. Presidente (Villarruel),Sra. Presidente (Villarruel).-,yes,yes,same-paragraph,none,high,El que necesita retirarse está en libertad de hacerlo. Nadie se los impide. Este,"Page prints ""Presidente"", not ""Presidenta""; transcribed as printed.",
75,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,95,Sr. Parrilli,Sr. Parrilli.-,yes,yes,same-paragraph,none,high,"Respete la palabra, senador prófugo. Cállese la boca. Lo segundo que voy a decir…","Label reprinted after the stage direction about senator Romero's off-microphone remarks; the ""Lo segundo que voy a decir…"" line continues the same turn.",
76,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,133,Sra. Presidente (Villarruel),Sra. Presidente (Villarruel).-,yes,yes,same-paragraph,none,high,"No, no, son modificaciones que son parte del debate, pero igualmente ahora las van","Label opens the paragraph directly preceding the quoted words; page prints ""Presidente"", not ""Presidenta"".",
77,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,174,Sr. Bensusán,Sr. Bensusán.-,yes,yes,same-paragraph,none,high,"Gracias, presidenta. Quería fundamentar el voto de mi bloque… De mi interbloque. Vamos a","Quote begins at the label (""Gracias, presidenta."") and runs into the next paragraph of the same turn.",
78,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,220,Sra. Di Tullio,Sra. Di Tullio.-,yes,yes,same-paragraph,none,high,¡No era mi voluntad abstenerme! ¡Está falseando mi voto!,Short one-line turn between Sra. Presidente (Villarruel) and Sra. Álvarez Rivero.,
79,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,236,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,"Gracias, senador Parrilli. Tiene la palabra a continuación Huala, María Victoria.",Quote begins at the label and continues into the next indented paragraph of the same turn.,
80,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,256,Sr. Secretario (Giustinian),Sr. Secretario (Giustinian).-,yes,yes,same-paragraph,none,high,"Resultado: afirmativos, 37 votos; negativos, 35. Aprobado.","Announcement of the vote result; the following line is the italic blue Acta N° 17 reference, not speech.",
81,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,262,Sr. Atauche,Sr. Atauche.-,yes,yes,same-paragraph,none,high,No. Aceptamos lo que le acabamos de decir.,"One-line reply following Sra. Di Tullio's question about ""la copa"".",
82,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,266,Sr. Lousteau,Sr. Lousteau.-,yes,yes,same-paragraph,none,high,"Se puede leer por Secretaría todo el Título III, que es el Capítulo “Bienes",First line of the page; quote begins immediately after the label.,
83,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,269,Sr. Presidente (Abdala),Sr. Presidente (Abdala).-,yes,yes,same-paragraph,none,high,"Aprobada. Como consecuencia de eso, se procede a la votación por medios electrónicos del","""Aprobada."" follows the label after the stage direction ""Se practica la votación a mano alzada.""; quote continues in the next paragraph of the same turn.",
84,2024-06-12_r05,12-06-2024_ESPECIAL.pdf,280,Sr. Atauche,Sr. Atauche.-,yes,yes,same-paragraph,none,high,"Está bien, pero nosotros, desde la comisión, queremos modificar el artículo 112, para que",Last labelled turn on the page; quote begins directly after the label.,
