case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes
37,2003-03-26_r05,2003-03-26_r05_ORDINARIA.pdf,34,Sr. Presidente (Gioja),Sr. Presidente (Gioja). —,yes,yes,same-paragraph,none,high,Senador Morales: el senador Baglini le solicita una interrupción. ¿Se la concede?,Clean scan; the label and quoted words are in the same line/paragraph on page 34.
38,2003-05-25_r00,2003-05-25_r00_ASAMBLEA.pdf,10,Sr. Presidente de la Nación Argentina,Sr. Presidente de la Nación Argentina. –,yes,yes,earlier-page,none,high,"Así, en una práctica que no debe repetirse, era muy difícil distinguir la solución","Quoted words are part of the presidential message that begins on page 9 under the label ""Sr. Presidente de la Nación Argentina. –"" and continues unbroken (no new label) onto page 10 where the quote appears."
39,2003-06-18_r12,2003-06-18_r12_ORDINARIA.pdf,85,Sra. Escudero,Sra. Escudero . —,yes,yes,same-paragraph,none,high,Señor presidente: quiero que quede constancia de mi voto negativo conrelación a los artículos,Clean scan; label and quoted words are in the same paragraph on page 85.
40,2003-09-17_r22,2003-09-17_r22_ORDINARIA.pdf,7,Sr. Presidente (Gioja),Sr. Presidente (Gioja). —,yes,yes,earlier-same-page,none,medium,Proyecto de declaración de la senadora Conti declarando de interésparlamentario “El Encuentro Nacional de,"The quoted words are not spoken directly but appear inside the printed ""Plan de labor parlamentaria"" document text, introduced on the same page 7 by ""Sr. Presidente (Gioja). — Obra sobre las bancas el texto del plan de labor..."" followed by the stenographer note ""— El texto es el siguiente:"" before the quoted list item. That presidential label is the last one printed before the quote."
41,2003-09-17_r22,2003-09-17_r22_ORDINARIA.pdf,17,Sr. Presidente (Gioja),Sr. Presidente (Gioja). —,yes,yes,same-paragraph,none,high,"Corresponde considerar el dictamen de las comisiones de Minería,Energía y Combustibles y de Ambiente","Item 31, ""Orden del Día N° 549 - Efectos carcinógenicos en actividades mineras,"" on page 17; label and quote in same paragraph. A near-identical phrase (same commission names) also opens item 32 lower on the same page, but the exact quoted wording matches item 31."
42,2003-09-17_r22,2003-09-17_r22_ORDINARIA.pdf,17,Sr. Presidente (Gioja),Sr. Presidente (Gioja). —,yes,yes,same-paragraph,none,high,"Corresponde considerar el dictamen de las comisiones de Minería,Energía y Combustibles y de Ambiente","Identical page images to case 41 (same sitting, same page 17, same quote and match location in item 31). A similarly worded phrase also appears in item 32 lower on the page, both governed by the same style of label."
43,2003-11-04_r29,2003-11-04_r29_TRIBUNAL_DE_JUICIO_POLITICO.pdf,91,Sr. Presidente (Yoma),Sr. Presidente (Yoma). —,yes,yes,same-paragraph,none,high,"De todos modos, las mayorías exigidas no son para funcionar sinopara dictaminar...",Clean scan; label and quoted words are in the same paragraph at the bottom of page 91.
44,2003-11-04_r29,2003-11-04_r29_TRIBUNAL_DE_JUICIO_POLITICO.pdf,94,Sr. Fanelli Evans,Sr. Fanelli Evans. —,yes,yes,same-paragraph,none,high,"Los teníamos en cuenta, pero no siempre se seguían.Hay que tener en cuenta que","Clean scan; label and quoted words are in the same paragraph on page 94 (this is a witness answer, not a senator)."
45,2003-11-04_r29,2003-11-04_r29_TRIBUNAL_DE_JUICIO_POLITICO.pdf,98,Sr. Yoma,Sr. Yoma. -,yes,yes,same-paragraph,none,high,"¿Y no considera usted que, como miembro del Tribunal Jurisdiccional, cuyasdecisiones son inapelables, podrían",Clean scan; label and quoted words are in the same paragraph on page 98.
46,2003-11-19_r33,2003-11-19_r33_ORDINARIA.pdf,21,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,medium,"En consideración en general.Si no se hace uso de la palabra, se va a","The exact phrase ""En consideración en general. Si no se hace uso de la palabra, se va a votar."" appears twice on page 21 (Orden del Día N° 957 and N° 958), each preceded by its own ""Sr. Presidente. —"" label with no surname in parentheses in this sitting. Both instances have the identical governing label, so the attribution is unaffected by the ambiguity."
47,2003-11-19_r33,2003-11-19_r33_ORDINARIA.pdf,21,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,medium,"En consideración en general.Si no se hace uso de la palabra, se va a","Identical page images and case setup to case 46 (same sitting, same page 21, same quote appearing twice under identical-style labels)."
48,2003-12-04_r40,2003-12-04_r40_ORDINARIA.pdf,55,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,Queda aprobada la declaración. Se procederá en consecuencia.,"On page 55, ""Queda aprobada la declaración. Se procederá en consecuencia."" appears once, under Orden del Día N° 1303 (item 143, Proyecto de Energías Renovables en el Mercado Rural); the other similar closing lines on this page say ""la comunicación"" instead of ""la declaración,"" so the match is unambiguous."
49,2004-05-19_r11,2004-05-19_r11_ORDINARIA.pdf,59,Sr. Giustiniani,Sr. Giustiniani.,yes,yes,same-paragraph,none,high,"Señor presidente: quiero adelantar mi voto negativo al proyecto entratamiento, es decir, a la","Label opens the very paragraph containing the quoted words, on page 59; page 58 is the preceding speaker's (unlabeled continuation) text."
50,2004-06-30_r15,2004-06-30_r15_ESPECIAL.pdf,31,Sr. Pichetto,Sr. Pichetto.,yes,yes,same-paragraph,none,high,"Señor presidente: si bien sé que no hay quórum, quisiera clarificar cómo sigueel desarrollo","On page 31, under section heading ""6 Manifestaciones en minoría"", sequence is ""Sr. Pichetto. — Pido la palabra."" then ""Sr. Presidente (Guinle). — Tiene la palabra el senador Pichetto."" then the quoted words open the next paragraph under ""Sr. Pichetto."""
51,2004-07-07_r16,2004-07-07_r16_ORDINARIA.pdf,44,Sr. Presidente (Guinle),Sr. Presidente (Guinle).,yes,yes,same-paragraph,none,high,Señora senadora: si puede ir terminando...,Short interjection on page 44 asking the senator to finish; clear single instance.
52,2004-07-07_r16,2004-07-07_r16_ORDINARIA.pdf,63,Sr. López Arias,Sr. López Arias.,yes,yes,same-paragraph,none,high,"Señor presidente: es ventajoso hablar a esta altura de la tarde, porque casitodos los",Label and quote both on page 63; page 62 carries the prior speaker's (Sr. Presidente/unnamed senator) unrelated remarks.
53,2004-07-07_r16,2004-07-07_r16_ORDINARIA.pdf,170,Sr. Presidente (Guinle),Sr. Presidente (Guinle).,yes,yes,same-paragraph,none,high,Por Secretaría se procederá a dar lectura a dos artículos delReglamento y luego le,Found on page 170 in the exchange about the disputed vote; label immediately precedes the quoted words.
54,2004-08-04_r17,2004-08-04_r17_ORDINARIA.pdf,17,Sr. Presidente,Sr. Presidente .,yes,yes,same-paragraph,none,medium,Queda aprobada la resolución. Se procederá en consecuencia.,"The exact phrase ""Queda aprobada la resolución. Se procederá en consecuencia."" is a boilerplate line that recurs verbatim at least 5 times across pages 16-17 (once per Orden del Día item), always immediately after a label reading ""Sr. Presidente."" or ""Sr. Presidente ."" (spacing/period varies slightly by instance). Cannot determine which specific occurrence corresponds to this case, but every occurrence on page 17 is governed by the same speaker, so the attribution is unambiguous even though the exact instance is not identifiable."
55,2004-08-04_r17,2004-08-04_r17_ORDINARIA.pdf,17,Sr. Presidente,Sr. Presidente .,yes,yes,same-paragraph,none,medium,Queda aprobada la resolución. Se procederá en consecuencia.,"Same page pair and same boilerplate phrase as case 54 (""Queda aprobada la resolución. Se procederá en consecuencia.""), which recurs multiple times on pages 16-17, each time immediately after a ""Sr. Presidente."" label. Exact occurrence not distinguishable, but speaker is consistent across all instances."
56,2004-08-04_r17,2004-08-04_r17_ORDINARIA.pdf,17,Sr. Presidente,Sr. Presidente .,yes,yes,same-paragraph,none,medium,Queda aprobada la resolución. Se procederá en consecuencia.,"Same page pair and same recurring boilerplate phrase as cases 54 and 55; multiple identical instances on pages 16-17, all attributed to ""Sr. Presidente."" Exact occurrence not distinguishable, but speaker is consistent across all instances."
57,2004-08-11_r18,2004-08-11_r18_ORDINARIA.pdf,41,Sr. Fernández,Sr. Fernández.,yes,yes,same-paragraph,none,high,"Señor presidente: frente a la denominada crisis energética, el Poder Ejecutivo nacional remitió a","Senator Fernández (by Santa Cruz) begins his speech on page 41 with these words, right after being given the floor by Sr. Presidente (Guinle)."
58,2004-10-06_r27,2004-10-06_r27_ORDINARIA.pdf,51,Sra. Escudero,Sra. Escudero.,yes,yes,same-paragraph,none,high,Quisiera realizar una aclaración. señor presidente.,"Clear single instance on page 51, immediately after the previous speaker (Sra. Negre de Alonso) finishes."
59,2004-11-17_r33,2004-11-17_r33_ORDINARIA.pdf,50,Sr. Marino,Sr. Marino.,yes,yes,same-paragraph,none,high,Señor presidente: voy a fundamentar el voto afirmativo de nuestro bloque conrelación a este,"Found on page 50, following interventions by Sr. Presidente (Guinle), Sr. Losada, and Sra. Conti."
60,2004-11-24_r34,2004-11-24_r34_ORDINARIA.pdf,97,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,"La senadora me está pidiendo la palabra.¿Es por este tema o por otro, señora","Found on page 97, in an exchange where the president notes Senator Avelín is asking for the floor."
61,2005-06-01_r15,2005-06-01_r15_ORDINARIA.pdf,12,Sr. Losada,Sr. Losada.,yes,yes,same-paragraph,none,high,"Esto es posterior. Esto corresponde al tratamiento sobre tablas. Cuando llegueel momento, se vota","Quote is the opening of the ""Sr. Losada."" turn on page 12, immediately after ""Sr. Presidente. — Tiene la palabra el senador Losada."""
62,2005-07-27_r21,2005-07-27_r21_ORDINARIA.pdf,70,Sr. Presidente (Guinle),Sr. Presidente (Guinle).,yes,yes,same-paragraph,none,high,"Corresponde considerar el dictamen de la Comisión de Educación,Cultura, Ciencia y Tecnología en el","The quoted phrase ""Corresponde considerar el dictamen de la Comisión de Educación, Cultura, Ciencia y Tecnología en el"" opens item 229 at the top of page 70, but the same opening phrase also recurs for items 230 and 231 on page 70 and items 225-228 on page 69; every occurrence is governed by the identical label ""Sr. Presidente (Guinle)."" so the label is unambiguous despite the repeated wording."
63,2005-07-27_r21,2005-07-27_r21_ORDINARIA.pdf,70,Sr. Presidente (Guinle),Sr. Presidente (Guinle).,yes,yes,same-paragraph,none,high,"Corresponde considerar el dictamen de la Comisión de Educación,Cultura, Ciencia y Tecnología en el","Same pages/content as case 62 (different image files, identical scan). The quoted phrase recurs several times on pages 69-70, each time under ""Sr. Presidente (Guinle)."""
64,2005-07-27_r21,2005-07-27_r21_ORDINARIA.pdf,70,Sr. Presidente (Guinle),Sr. Presidente (Guinle).,yes,yes,same-paragraph,none,high,"Corresponde considerar el dictamen de la Comisión de Educación,Cultura, Ciencia y Tecnología en el","Same pages/content as cases 62-63 (different image files, identical scan). The quoted phrase recurs several times on pages 69-70, each time under ""Sr. Presidente (Guinle)."""
65,2005-08-25_r25,2005-08-25_r25_ORDINARIA.pdf,43,Sr. Presidente (Guinle),Sr. Presidente (Guinle).,yes,yes,same-paragraph,none,high,"Su modificación, señora senadora.","""Su modificación, señora senadora."" is the entire turn under ""Sr. Presidente (Guinle)."" on page 43, addressed to senadora Paz."
66,2005-09-07_r27,2005-09-07_r27_ORDINARIA.pdf,26,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,"En consideración en general.Si no se hace uso de la palabra, se va a","The quoted phrase ""En consideración en general. Si no se hace uso de la palabra, se va a"" recurs four times on page 26 (items under Orden del Día 807, 808, 809, 810), each time under the identical label ""Sr. Presidente."" with no parenthetical surname, so the label is unambiguous despite repetition."
67,2005-09-07_r27,2005-09-07_r27_ORDINARIA.pdf,26,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,"En consideración en general.Si no se hace uso de la palabra, se va a","Same pages/content as case 66 (different image files, identical scan). Phrase recurs 4 times on page 26, always under ""Sr. Presidente."""
68,2005-09-07_r27,2005-09-07_r27_ORDINARIA.pdf,26,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,"En consideración en general.Si no se hace uso de la palabra, se va a","Same pages/content as cases 66-67 (different image files, identical scan). Phrase recurs 4 times on page 26, always under ""Sr. Presidente."""
69,2005-09-07_r27,2005-09-07_r27_ORDINARIA.pdf,26,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,"En consideración en general.Si no se hace uso de la palabra, se va a","Same pages/content as cases 66-68 (different image files, identical scan). Phrase recurs 4 times on page 26, always under ""Sr. Presidente."""
70,2005-09-21_r29,2005-09-21_r29_ORDINARIA.pdf,51,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,Queda aprobada la declaración. Se procederá en consecuencia.,"The quoted phrase ""Queda aprobada la declaración. Se procederá en consecuencia."" recurs three times on page 51 (items 943, 946, 947), each time under the identical label ""Sr. Presidente."" with no parenthetical surname, so the label is unambiguous despite repetition."
71,2005-09-21_r29,2005-09-21_r29_ORDINARIA.pdf,51,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,Queda aprobada la declaración. Se procederá en consecuencia.,"Same pages/content as case 70 (different image files, identical scan). Phrase recurs 3 times on page 51, always under ""Sr. Presidente."""
72,2005-09-21_r29,2005-09-21_r29_ORDINARIA.pdf,51,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,Queda aprobada la declaración. Se procederá en consecuencia.,"Same pages/content as cases 70-71 (different image files, identical scan). Phrase recurs 3 times on page 51, always under ""Sr. Presidente."""
73,2006-02-15_r44,2006-02-15_r44_EXTRAORDINARIA.pdf,28,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,"Adelante, senador Capitanich, para aclararlo.","Page 28 has two consecutive ""Sr. Presidente."" lines (""Adelante, senador Capitanich, para aclararlo."" then ""Tiene la palabra el señor senador Capitanich.""); the quoted words are governed by the first of the two, both attributed to Sr. Presidente."
74,2006-02-15_r44,2006-02-15_r44_EXTRAORDINARIA.pdf,43,Sr. Capitanich,Sr. Capitanich. —,yes,yes,same-paragraph,none,high,No se aceptan modificaciones por los argumentos vertidos.,Clear single occurrence on page 43.
75,2006-02-22_r45,2006-02-22_r45_EXTRAORDINARIA.pdf,41,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,Continúa en el uso de la palabra el señor senador Rodríguez Saá.,Clear single occurrence on page 41.
76,2006-05-17_r09,2006-05-17_r09_ORDINARIA.pdf,45,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,"Aprobados.Si no se hace uso de la palabra, se va a votar el pedido","The quoted text spans two consecutive short turns both labeled Sr. Presidente (""Aprobados."" then ""Si no se hace uso de la palabra...""); both are the same speaker, page 45."
77,2006-06-28_r13,2006-06-28_r13_ORDINARIA.pdf,18,Sr. Capitanich,Sr. Capitanich. —,yes,yes,same-paragraph,none,high,Señor presidente: solicito que se pasen a votar las inserciones y luego elproyecto de,Clear single occurrence on page 18.
78,2006-08-02_r17,2006-08-02_r17_ORDINARIA.pdf,40,Sr. Fernández de Kirchner,Sr. Fernández de Kirchner. —,yes,yes,same-paragraph,none,high,"Si no se oponen a votar en general y en particular en una solavotación,",Clear single occurrence on page 40.
79,2006-08-16_r19,2006-08-16_r19_ORDINARIA.pdf,9,Sra. Kirchner,Sra. Kirchner. —,yes,yes,same-paragraph,none,high,"Señor presidente, señores senadores: para poder contextualizar este proyecto deley en el escenario de","Clear single occurrence on page 9; speaker is identified two lines above as ""la señora senadora por Santa Cruz, senadora Kirchner."""
80,2006-10-04_r24,2006-10-04_r24_ORDINARIA.pdf,37,Sr. Pichetto,Sr. Pichetto. —,yes,yes,same-paragraph,none,high,¿Hay alguna disidencia?,Clear single occurrence on page 37.
81,2006-11-01_r26,2006-11-01_r26_ORDINARIA.pdf,14,Sr. Sanz,Sr. Sanz. —,yes,yes,same-paragraph,none,high,¡Nadie puede atribuirse la capacidad de evaluar una cuestión de privilegio!,"Clear single occurrence, first line of page 14."
82,2006-11-08_r27,2006-11-08_r27_ESPECIAL.pdf,12,Sr. Martínez,Sr. Martínez. —,yes,yes,same-paragraph,none,high,"La N° 232, concretamente. Imagino que el jefe de Gabinete habrá remitido esta cuestión",Clear single occurrence on page 12; senator Martínez questioning the Jefe de Gabinete de Ministros.
83,2006-12-06_r30,2006-12-06_r30_ORDINARIA.pdf,88,Sr. Martínez,Sr. Martínez. —,yes,yes,same-paragraph,none,high,"Señor presidente: efectivamente, se trata de llevar a una ley en particular loque ya","Clear single occurrence on page 88, right after a stenographer note that the vice president López Arias took the chair."
