case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,which_occurrence,reader_notes
h016,1998-04-01_r06,1998-04-01_r06_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada).--,yes,"¡Por favor, señor senadores! Respeten al orador en uso de la palabra.",,
h017,1998-04-01_r06,1998-04-01_r06_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto).--,yes,"Esta Secretaría informa que de acuerdo con el artículo 83 de la Constitución Nacional, el voto debe ser nominal.",,The label is printed twice in a row with '(Lee:)' between the two; the passage follows the second one. Also note the first bold run earlier on the page swallows the heading 'El texto de la inserción se encuentra en los originales' together with 'Sr. PRESIDENTE (Menem).--'.
h018,1998-04-15_r09,1998-04-15_r09_ORDINARIA.html,,Sr. BRANDA,Sr. BRANDA.-,yes,Señor presidente: que se tengan en cuenta los antecedentes y se obre en consecuencia.,,
h019,1998-04-15_r09,1998-04-15_r09_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto).-,yes,(Lee:),73 of 114,The passage is the '( Lee :)' note; this stretch of the page is a long run of read-out dictámenes with no debate between them.
h020,1998-04-29_r12,1998-04-29_r12_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"¿Es para referirse a este tema, señor senador?",,
h021,1998-04-29_r12,1998-04-29_r12_ORDINARIA.html,,Sr. LOSADA,Sr. LOSADA.-,yes,Pido la palabra.,6 of 22,
h022,1998-04-29_r12,1998-04-29_r12_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Queda abierta la conferencia. En consideración. Tiene la palabra el señor senador por La Pampa.,,"Broken bold: the run opens at the section heading 'II Conferencia' and closes after 'Sr. PRESIDENTE.-', so heading and label are one bold run. The same passage text appears twice on this page (two separate Cámara-en-comisión conferences); this is the second, the one for the Litoral zona-de-desastre bill."
h023,1998-04-29_r12,1998-04-29_r12_ORDINARIA.html,,Sr. SALA,Sr. SALA.-,yes,"Señor presidente: quiero hacer una aclaración a los señores senadores por el Chaco y por Formosa, porque el accidente ha motivado que estemos encima de los acontecimientos. El Banco Hipotecario",,"Immediately above, the previous label is mispunctuated as 'Sr. PRESIDENTE.**- ' — the bold closes before the dash. It does not affect this answer."
h024,1998-04-29_r12,1998-04-29_r12_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Queda definitivamente sancionado el proyecto de ley. Se harán las comunicaciones correspondientes.,3 of 4,
h025,1998-05-06_r13,1998-05-06_r13_ORDINARIA.html,,Sr. HUMADA,Sr. HUMADA.-,yes,"Ante todo, señor presidente, quiero destacar la prontitud de esta sanción de la Cámara de Diputados, que ahora se transformaría en ley, sobre todo por el hecho de haber elevado",,
h026,1998-05-06_r13,1998-05-06_r13_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"Corresponde considerar el dictamen de la Comisión de Micro, Pequeña y Mediana Empresa en el proyecto de comunicación del señor senador León por el que se solicita que el Poder",,"Label sits immediately above the passage under the section heading ""27 Desarrollo de las micro"
h027,1998-05-06_r13,1998-05-06_r13_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Tiene la palabra el señor senador por La Rioja del bloque de la Unión Cívica Radical.,,
h028,1998-05-06_r13,1998-05-06_r13_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,En la lista está anotado el senador Genoud...,,"Preceded by ""Sr. AGÚNDEZ.- Pido la palabra.""; the president's label opens the passage's turn."
h029,1998-05-06_r13,1998-05-06_r13_ORDINARIA.html,,Sr. MENEGHINI,Sr. MENEGHINI.-,yes,¿Me concede una interrupción?,,Short interjection inside Alasino's speech; its own label is printed.
h030,1998-05-13_r15,1998-05-13_r15_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"Tiene la palabra el señor senador por Corrientes, del bloque autonomista.",,
h031,1998-05-13_r15,1998-05-13_r15_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Queda aprobada la declaración. Se procederá en consecuencia. 39,,Label is above a stenographer's vote note; same speaker resumes.
h032,1998-05-13_r15,1998-05-13_r15_ORDINARIA.html,,Sr. CAFIERO,Sr. CAFIERO.-,yes,"Mi discurso es moderno, no acerca de la Roma Antigua... (Risas.) Entre los justicialistas -y creo que esto es compartido también en el discurso de la oposición, aunque presumo que",,
h033,1998-05-20_r18,1998-05-20_r18_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"Ha concluido su tiempo, señor senador.",,Printed without a name in this file.
h034,1998-05-20_r18,1998-05-20_r18_ORDINARIA.html,,Sr. YOMA,Sr. YOMA.-,yes,"No me interrumpa, señor senador.",,Yoma resumes after Maya's one-line interruption; his own label opens the passage.
h035,1998-05-20_r18,1998-05-20_r18_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"Eso es posible. Entonces, en primer lugar se va a votar el Capítulo III sin el artículo 15 y después el artículo 15. Tiene la palabra el señor senador por",,Printed without a name in this file.
h036,1998-05-20_r18,1998-05-20_r18_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Por Secretaría se dará lectura.,2 of 39,"Label directly above the vote note that precedes the passage.; the round's sheet named occurrence 2 of 39 of a count that included matches inside other words and lines of the contents list; both are fixed, and this row records the turn the reader was actually sent to"
h037,1998-06-10_r24,1998-06-10_r24_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada).-,yes,"Corresponde considerar el dictamen de las comisiones de Legislación General y de Micro, Pequeña y Mediana Empresa en el proyecto de ley en revisión por el que se sustituye el",,"Label opens a bold run that also swallows the heading ""29 Modificación de la Ley de Factura de Crédito""."
h038,1998-06-24_r26,1998-06-24_r26_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Tiene la palabra el señor senador por Salta.,3 of 6,
h039,1998-07-15_r29,1998-07-15_r29_ORDINARIA.html,,Sr. VERNA,Sr. VERNA.-,yes,Pido la palabra.,2 of 13,"Label printed right after the note ""-A las 17 y 40 :""."
h040,1998-07-15_r29,1998-07-15_r29_ORDINARIA.html,,Sr. SECRETARIO (Piuzzi),Sr. SECRETARIO (Piuzzi).-,yes,(Lee:),89 of 130,"Passage is the ""(Lee:)"" that follows the secretary's own label."
h041,1998-07-15_r29,1998-07-15_r29_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Dictamen de las comisiones de Agricultura y Ganadería y de Asistencia Social y Salud Pública en el proyecto de comunicación del señor senador Oudín por el que se solicita apoyo,,
h042,1998-07-15_r29,1998-07-15_r29_ORDINARIA.html,,Sr. SECRETARIO (Piuzzi),Sr. SECRETARIO (Piuzzi).-,yes,(Lee:),101 of 130,"Passage is the ""(Lee:)"" that follows the secretary's own label."
h043,1998-08-12_r34,1998-08-12_r34_ORDINARIA.html,,Sr. STORANI,Sr. STORANI.-,yes,Así es.,,
h044,1998-08-19_r36,1998-08-19_r36_ORDINARIA.html,,Sr. YOMA,Sr. YOMA.-,yes,"Sí, señor presidente.",1 of 6,
h045,1998-08-19_r36,1998-08-19_r36_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto).-,yes,"(Lee:) ""Inciso e): Fundar sus actos y mostrar la mayor transparencia en las decisiones adoptadas sin restringir información, a menos que una norma o el interés público claramente lo exijan;",,"Label is on the line above; the passage begins with the ""(Lee:)"" note."
h046,1998-08-19_r36,1998-08-19_r36_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"En consecuencia, queda claro que se suprime únicamente el penúltimo párrafo. Tiene la palabra el señor senador por La Rioja.",,
h047,1998-08-19_r36,1998-08-19_r36_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD.-,yes,"Muy cordialmente, señor presidente, quiero expresar que no termino de comprender por qué se sostiene que se aplicará un criterio sin consultar primero a la Cámara. Perfectamente -como se lo",,"the round's sheet quoted this turn as 'Sí.', which the accent-folding matched inside 'así' at the end of this senator's sentence; the reader was sent here, read the label above it and answered correctly. The quote is recorded as the turn's own opening because 'Sí.' cannot locate a turn, and the numbering now refuses a match buried inside a word."
h048,1998-08-19_r36,1998-08-19_r36_ORDINARIA.html,,Sr. ALASINO,Sr. ALASINO.-,yes,"Si se acepta la propuesta del senador Del Piero, se abre el prevaricato, incorporándose una especie de tipo penal en blanco. Quiero decir que comparto la posición del señor senador",,
h049,1998-08-26_r39,1998-08-26_r39_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto).-,yes,El artículo 4 tiene una modificación.,,
h050,1998-09-02_r42,1998-09-02_r42_ORDINARIA.html,,Sr. VILLARROEL,Sr. VILLARROEL.-,yes,"Señor presidente, señores senadores: en oportunidad de tratarse anteriormente esta cuestión, que fue devuelta a comisión, adelanté mi criterio negativo en cuanto al progreso de este proyecto de comunicación. Creo",,
h051,1998-09-02_r42,1998-09-02_r42_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Dictamen de la Comisión de Asistencia Social y Salud Pública en el proyecto de comunicación de la señora senadora Rivas por el que se solicitan informes acerca de la realización,1 of 2,"Label sits immediately above, after a section heading; bold run opens with a stray empty ** pair before it."
h052,1998-09-09_r44,1998-09-09_r44_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada).-,yes,Señor senador: la Presidencia va a hacer cumplir estrictamente el Reglamento. Sigue en uso de la palabra el senador por Formosa.,,
h053,1998-09-09_r44,1998-09-09_r44_ORDINARIA.html,,Sr. CAFIERO,Sr. CAFIERO.-,yes,"Señor presidente: aquí también se trata de una cuestión de redacción. Creo que debería decir: ""El incremento de la deuda pública interna neta del Estado nacional no será superior al",,
h054,1998-09-16_r47,1998-09-16_r47_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Se va a votar el plan de labor...,,
h055,1998-09-16_r47,1998-09-16_r47_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,En consideración en general. Tiene la palabra el señor senador por La Rioja del bloque justicialista.,,Presidency changes to Cafiero in a stenographer's note just above the label; the label is directly above the passage.
h056,1998-10-07_r51,1998-10-07_r51_ORDINARIA.html,,Sr. SALA,Sr. SALA.-,yes,Se acepta la sugerencia porque está de acuerdo con el espíritu del artículo.,,
h057,1998-10-07_r51,1998-10-07_r51_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Señor senador: hay otros oradores anotados para hacer uso de la palabra. Tiene la palabra el señor senador por Entre Ríos.,,
h058,1998-10-14_r52,1998-10-14_r52_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Señor senador: ¿usted formula el pedido porque quiere hacer ahora alguna petición sobre esos expedientes?,,
h059,1998-10-14_r52,1998-10-14_r52_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"Si no se hace uso de la palabra, se va a votar.",2 of 81,"Broken markup: the label is swallowed by the bold run that starts at the heading 'Orden del Día Nº 976', so it prints as part of that heading and the closing ** falls after '(Menem)'. Passage is a later paragraph of the same turn."
h060,1998-10-21_r53,1998-10-21_r53_ORDINARIA.html,,Sr. MAYA,Sr. MAYA.-,yes,"Al primero que voy a mencionar, señor presidente, es a usted felicitándolo por su estabilidad emocional en la conducción de esta reunión ante lo que hemos tenido que vivir. No",,
h061,1998-10-21_r53,1998-10-21_r53_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD.-,yes,¡Que hable en serio alguna vez!,,
h062,1998-10-21_r53,1998-10-21_r53_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD.-,yes,"Señor presidente: cuando a un acto irregular -llámesele ""despojo"" o ""usurpación""- se le agregan risas, burlas y humoradas, estamos frente a algo más grave, que es el cinismo. Y esa",,
h063,1998-10-21_r53,1998-10-21_r53_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"No interrumpa, senador Genoud. No le voy a permitir ninguna interrupción. Si usted quiere una interrupción, la pide a la Presidencia, como corresponde.",,
h064,1998-10-28_r54,1998-10-28_r54_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Tiene la palabra el señor senador por La Rioja.,5 of 18,"The passage starts mid-sentence: the turn opens 'Para referirse a este mismo tema,' and the quoted words continue it."
h065,1998-10-28_r54,1998-10-28_r54_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Tiene la palabra el señor senador por Salta.,2 of 3,"Label is a paragraph above, under the heading 'Protocolo de Kyoto'; passage is the second paragraph of that turn.; the round's sheet named occurrence 2 of 3 of a count that included matches inside other words and lines of the contents list; both are fixed, and this row records the turn the reader was actually sent to"
h066,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. PARDO,Sr. PARDO.-,yes,"Quiero señalar, señor presidente, que la tan mentada mayoría del Pacto no existe. El Pacto es integrado por tres bloques independientes: el del Partido Autonomista, el del Partido Liberal y",,
h067,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Señores senadores: les ruego que respeten al orador.,,
h068,1998-11-04_r56,1998-11-04_r56_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"Corresponde considerar el dictamen de las comisiones de Presupuesto y Hacienda, de Obras Públicas y de Transportes en el proyecto de comunicación del señor senador Salum por el que se",,Label directly above; in this file the bold closes before the '.-' ('Sr. PRESIDENTE (Menem)**.-') and nearby labels are folded into the 'Orden del Día' headings' bold runs.
h069,1998-11-11_r57,1998-11-11_r57_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"Les ruego lo siguiente: como todos pueden hacer uso de la palabra, pido que se limiten al máximo las interrupciones. De lo contrario, el debate será muy desordenado. Señor senador",,
h070,1998-11-18_r58,1998-11-18_r58_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Hay anotados otros señores senadores.,,
h071,1998-11-18_r58,1998-11-18_r58_ORDINARIA.html,,Sr. YOMA,Sr. YOMA.-,yes,¿Cómo vamos a hacer eso?,,
h072,1998-11-18_r58,1998-11-18_r58_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,"Hay una propuesta que esta Presidencia somete a consideración del cuerpo. Si no se hace uso de la palabra, se va a votar.",,
h073,1998-11-25_r62,1998-11-25_r62_ESPECIAL.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,La Presidencia ruega se sirvan guardar silencio.,,
h074,1998-11-25_r64,1998-11-25_r64_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Me informa la Secretaría Parlamentaria que ha sido votado en general.,,"Same file has 'Sr. ROMERO FERIS.-' printed inside the bold run of the heading 'Orden del Día N° 798', though that is not the label for this passage."
h075,1998-11-25_r64,1998-11-25_r64_ORDINARIA.html,,Sr. VILLARROEL,Sr. VILLARROEL.-,yes,"¿Me permite una interrupción, señor senador?",3 of 5,
h076,1998-11-26_r65,1998-11-26_r65_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero).-,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,20 of 29,
h077,1998-11-26_r65,1998-11-26_r65_ORDINARIA.html,,Sr. SECRETARIO (Pontaquarto),Sr. SECRETARIO (Pontaquarto).-,yes,(Lee:),70 of 107,"Same reader is labelled PROSECRETARIO (Pontaquarto) elsewhere in this file; here the page prints SECRETARIO.; the round's sheet named occurrence 70 of 107 of a count that included matches inside other words and lines of the contents list; both are fixed, and this row records the turn the reader was actually sent to"
h078,1998-12-02_r66,1998-12-02_r66_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Voy a conceder una última prórroga por diez minutos. Por Secretaría se tomará nota de los señores senadores que se incorporen y que no se encontraban presentes en el momento,,
h079,1998-12-09_r71,1998-12-09_r71_ORDINARIA.html,,Sr. MOREAU,Sr. MOREAU.-,yes,"Gracias, señor presidente. Lamentablemente, mi colega por la provincia de Buenos Aires introdujo un tema que no estaba en discusión. Además, se trata de dos situaciones distintas . No tuve",,
h080,1998-12-09_r71,1998-12-09_r71_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"Si así no lo hiciereis, Dios y la Patria os lo demanden. (Aplausos y manifestaciones en las bancas y en las galerías. Varios señores senadores rodean y felicitan al señor",,No surname in parenthesis anywhere in this stretch; the page prints the bare label.
h081,1998-12-09_r71,1998-12-09_r71_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Queda aprobada la comunicación. Se procederá en consecuencia.,,
h082,1998-12-09_r71,1998-12-09_r71_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Corresponde considerar el dictamen de las comisiones de Deportes y de Presupuesto y Hacienda en el proyecto de comunicación del señor senador Gioja por el que se solicita un subsidio,1 of 2,
h083,1998-12-16_r73,1998-12-16_r73_EXTRAORDINARIA.html,,Sr. VERNA,Sr. VERNA.-,yes,Así es; venció el 30 de noviembre.,,"Bare PRESIDENTE label, no surname, in this file."
h084,1999-02-24_r01,1999-02-24_r01_PREPARATORIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Tiene la palabra el señor senador por Mendoza.,1 of 3,Passage is a new paragraph with no label of its own; it continues the president's turn two paragraphs above.
h085,1999-03-24_r04,1999-03-24_r04_ORDINARIA.html,,Sr. ROMERO FERIS,Sr. ROMERO FERIS.-,yes,Volveremos a insistir para ver si podemos traer al ministro Corach a este recinto para que diga las cosas que tiene que decir.,,
h086,1999-04-07_r06,1999-04-07_r06_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Corresponde considerar el dictamen de la Comisión de Asistencia Social y Salud Pública en el proyecto de comunicación de los señores senadores Verna y Sala por el que se solicitan,,
h087,1999-04-07_r06,1999-04-07_r06_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Queda aprobada la resolución. Se comunicará a la Honorable Cámara de Diputados.,3 of 4,
h088,1999-04-07_r06,1999-04-07_r06_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",,"The label's bold run is merged with the preceding section heading (""Orden del Dia N 49""), so the label has no opening bold marker of its own."
h089,1999-04-14_r08,1999-04-14_r08_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Tiene la palabra el señor senador por la Capital.,,
h090,1999-04-14_r08,1999-04-14_r08_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,El senador Maya le solicita una interrupción.,,
h091,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Tiene la palabra el señor senador por Corrientes.,1 of 5,
h092,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. BRANDA,Sr. BRANDA.-,yes,Pido la palabra.,5 of 19,
h093,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Tiene la palabra el señor senador por Formosa.,2 of 5,
h094,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,En consideración en general.,15 of 67,"Label sits inside a bold run that starts with the heading ""Incorporar dictamen""; also this item skips the usual ""Si no se hace uso de la palabra"" line and goes straight to the vote."
h095,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Queda aprobada la resolución. Se harán las comunicaciones correspondientes.,29 of 32,
h096,1999-05-12_r18,1999-05-12_r18_ESPECIAL.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,"Le resta un minuto, senador.",,
h097,1999-06-02_r21,1999-06-02_r21_ESPECIAL.html,,Sr. CAFIERO,Sr. CAFIERO.-,yes,"¿Me permite una interrupción, señor senador?",,
h098,1999-06-02_r21,1999-06-02_r21_ESPECIAL.html,,Sr. PRESIDENTE (López),Sr. PRESIDENTE (López).-,yes,Tiene la palabra la señora senadora por el Neuquén.,,"Label's bold run is merged with the heading ""Texto de la insercion""."
h099,1999-06-09_r22,1999-06-09_r22_ORDINARIA.html,,Sr. ALTUNA,Sr. ALTUNA.-,yes,¡Ah! Es otra cosa.,,
h100,1999-06-16_r24,1999-06-16_r24_ESPECIAL.html,,Sr. YOMA,Sr. YOMA.-,yes,"Respecto de la propuesta efectuada por el señor senador Alasino, debo decir que no alcanzo a comprender su objeto. Digo esto porque el artículo que él propone constituye una reiteración,",,
h101,1999-06-16_r25,1999-06-16_r25_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa).-,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",22 of 160,"Label sits inside a bold run that opens before the ""Orden del Día Nº 193"" heading and closes just after the label, so the title and the label share one bold block."
h102,1999-06-16_r25,1999-06-16_r25_ORDINARIA.html,,Sr. SECRETARIO (Oyarzún),Sr. SECRETARIO (Oyarzún).-,yes,(Lee:),39 of 172,Passage is the (Lee:) note itself; label immediately above.
h103,1999-06-16_r25,1999-06-16_r25_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa).-,yes,Queda aprobada la declaración. Se procederá en consecuencia.,24 of 39,"Item is introduced as a proyecto de resolución but the passage says ""Queda aprobada la declaración"" - page inconsistency, not a label problem."
h104,1999-06-16_r25,1999-06-16_r25_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa).-,yes,Queda aprobada la resolución. Se procederá en consecuencia.,26 of 27,
h105,1999-06-16_r25,1999-06-16_r25_ORDINARIA.html,,Sr. ULLOA,Sr. ULLOA.-,yes,"Señor presidente: quizá el miembro informante pueda hacerme una aclaración mientras esperamos para formar quórum. La ley 24.625 tenía una duración de tres años, a partir del 3 de enero",,"Turn opened by ""Sr. ULLOA.- "" right after the president gave him the floor."
h106,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE.-,yes,Queda sancionado el proyecto de ley. Se comunicará a la Honorable Cámara de Diputados.,11 of 29,"Printed with no name in parentheses here, although the same file prints ""Sr. PRESIDENTE (Menem).-"" elsewhere. Copied as printed."
h107,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Corresponde considerar el dictamen de la Comisión de Interior y Justicia en el proyecto de ley en revisión por el que se declara como Mes Nacional de la Colectividades a,,
h108,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem).-,yes,Corresponde considerar el dictamen de la Comisión de Legislación General en el proyecto de ley del señor senador Sala sobre Hora Oficial. (Orden del Día Nº 229) Por Secretaría se,,
