case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,which_occurrence,reader_notes
g053,1998-11-18_r58,1998-11-18_r58_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Para una interrupción tiene la palabra el señor senador por Mendoza.,,
g054,1998-11-25_r64,1998-11-25_r64_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Tiene la palabra el señor senador por Santa Cruz.,3 of 4,
g055,1998-11-25_r64,1998-11-25_r64_ORDINARIA.html,,Sr. YOMA,Sr. YOMA,yes,Señor presidente: voy a hacer una modificación terminológica. En el inciso 4. contenido en el artículo 1 se utilizan dos términos para definir el carácter de la comunicación telefónica o,,
g056,1998-11-26_r65,1998-11-26_r65_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. Presidente (Cafiero),yes,Tiene la palabra el señor senador por Misiones.,,
g057,1998-11-26_r65,1998-11-26_r65_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,Corresponde considerar el dictamen de la Comisión Parlamentaria Mixta Revisora de Cuentas de la Administración en diversos expediente Oficiales Varios por los que la Auditoría General de la Nación remite,,
g058,1998-11-26_r65,1998-11-26_r65_ORDINARIA.html,,Sr. ALASINO,Sr. ALASINO,yes,Señor presidente: solicito un cambio en el plan de labor. Pido que se considere y se apruebe el dictamen de la Comisión de Asuntos Constitucionales en el proyecto de ley,,
g059,1998-12-07_r68,1998-12-07_r68_ESPECIAL.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,"En consideración la moción formulada por el señor senador por Formosa. Si no se hace uso de la palabra, se va a votar.",,
g060,1998-12-07_r68,1998-12-07_r68_ESPECIAL.html,,Sr. ALASINO,Sr. ALASINO,yes,"Señor presidente: creo que ahora podemos votar el proyecto sobre la ""probation"", ya que se trata de una iniciativa originada en el bloque de la Unión Cívica Radical...",,
g061,1998-12-09_r71,1998-12-09_r71_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,"Dado que el señor senador electo por Tucumán, don Ramón Ortega, se encuentra en la antesala, si hay asentimiento se lo invitará a ingresar en el recinto para prestar juramento.",,
g062,1998-12-09_r71,1998-12-09_r71_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Corresponde considerar el dictamen de la Comisión Parlamentaria Mixta Revisora de Cuentas de la Administración en el expediente Oficiales Varios 40/98 por el que la Auditoría General de la Nación,,
g063,1998-12-09_r71,1998-12-09_r71_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,"Prosigue en uso de la palabra, señor senador por La Rioja.",,
g064,1999-03-01_r00,1999-03-01_r00_ASAMBLEA.html,,Sr. SENADOR ALASINO,Sr. Senador Alasino,yes,Señor presidente: hago moción para que se autorice a la Presidencia a designar a los miembros de las comisiones de Recepción que esperarán al señor presidente de la Nación. También,,
g065,1999-03-24_r04,1999-03-24_r04_ORDINARIA.html,,Sr. BRANDA,Sr. BRANDA,yes,"Señor presidente: habría que efectuar una modificación en este proyecto. Concretamente, propongo que se reemplacen las palabras ""a realizarse"" por las siguientes: ""que se realiza"".",,
g066,1999-03-24_r04,1999-03-24_r04_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa),yes,Corresponde considerar el dictamen de la Comisión de Asuntos Administrativos y Municipales en el proyecto de ley del señor senador de la Sota y en el proyecto de ley del,,
g067,1999-04-14_r08,1999-04-14_r08_ORDINARIA.html,,Sr. SENADOR ELECTO SERGNESE,Sr. SENADOR ELECTO SERGNESE,yes,"¡Sí, juro!",,
g068,1999-04-14_r08,1999-04-14_r08_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Tiene la palabra el señor senador por Mendoza.,4 of 5,
g069,1999-04-14_r08,1999-04-14_r08_ORDINARIA.html,,Sr. MAYA,Sr. MAYA,yes,"Señor presidente: quiero efectuar una ponderación para algunos tribunales, que no siempre son reconocidos. Incluso, a veces con poca generosidad, son objeto del castigo, del reclamo generalizado y de la",,
g070,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. SECRETARIO (Oyarzún),Sr. SECRETARIO (Oyarzún),yes,(Lee:),3 of 73,
g071,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Para una interrupción tiene la palabra el señor senador por La Rioja.,,
g072,1999-04-21_r10,1999-04-21_r10_ORDINARIA.html,,Sr. SECRETARIO (Oyarzún),Sr. SECRETARIO (Oyarzún),yes,(Lee:),37 of 73,
g073,1999-04-28_r14,1999-04-28_r14_ORDINARIA.html,,Sr. SALA,Sr. SALA,yes,Pido la palabra.,3 of 6,
g074,1999-04-28_r14,1999-04-28_r14_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa),yes,"Corresponde pasar a sesión de acuerdos, si hay voluntad de seguir sesionando. Dado que no hay quórum, se va a llamar durante cinco minutos.",,
g075,1999-05-12_r18,1999-05-12_r18_ESPECIAL.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Senador Moreau: la propuesta que hizo ayer la Presidencia en la reunión de presidentes de bloques se debe simplemente a un planteo reglamentario. Tengo que habilitar el tratamiento de un,,
g076,1999-05-12_r18,1999-05-12_r18_ESPECIAL.html,,Sr. CABANA,Sr. Cabana,yes,"Señor presidente: en homenaje a la premura que existe en aprobar el proyecto en consideración y después de haber escuchado el brillante discurso de mi compañero de bancada doctor Cafiero,",,
g077,1999-06-02_r21,1999-06-02_r21_ESPECIAL.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,"Habiendo concluido la lista de oradores, vamos a someter a votación en general el proyecto de ley venido en revisión por el cual se aprueba el Tratado para precisar el",,
g078,1999-06-16_r25,1999-06-16_r25_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa),yes,Corresponde considerar el dictamen de la Comisión de Cultura en el proyecto de declaración del señor senador Sáez por el que se declara de interés cultural el Encuentro Culturas del,,
g079,1999-06-16_r25,1999-06-16_r25_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa),yes,Queda aprobada la comunicación. Se procederá en consecuencia.,27 of 74,
g080,1999-06-23_r29,1999-06-23_r29_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Queda sancionado el proyecto de ley. Se comunicará a la Honorable Cámara de Diputados.,23 of 28,
g081,1999-06-30_r30,1999-06-30_r30_ORDINARIA.html,,Sr. DE LA ROSA,Sr. DE LA ROSA,yes,"Para el artículo 26 también hay una modificación propuesta: en lugar de decir ""edición de un libro"" que diga ""edición de libros"". Son las dos modificaciones del Capítulo.",,
g082,1999-07-07_r31,1999-07-07_r31_ORDINARIA.html,,Sr. VAQUIR,Sr. VAQUIR,yes,Y en el niño.,,
g083,1999-07-07_r31,1999-07-07_r31_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD,yes,Pido la palabra.,8 of 9,
g084,1999-07-14_r35,1999-07-14_r35_ORDINARIA.html,,Sr. GENOUD,Sr. Genoud,yes,¿Me permite?,,
g085,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",23 of 130,
g086,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Corresponde considerar el dictamen de la Comisión de Defensa Nacional en el proyecto de comunicación del señor senador Bravo por el que se solicitan informes acerca de la situación de,,
g087,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Corresponde considerar el dictamen de las comisiones de Libertad de Expresión y de Derechos y Garantías en el proyecto de declaración del señor senador Romero Feris por el que se,,
g088,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. GALVÁN,Sr. GALVÁN,yes,Señor presidente: quiero informar a la Honorable Cámara que la Comisión de Seguimiento de los Atentados a la Embajada de Israel y de la AMIA ha producido el segundo dictamen,,
g089,1999-08-04_r37,1999-08-04_r37_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD,yes,Pido la palabra.,11 of 11,
g090,1999-08-11_r39,1999-08-11_r39_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,"Con las palabras pronunciadas por los señores senadores, que esta Presidencia hace suyas, queda rendido el homenaje al senador mandato cumplido don Edison Otero.",,
g091,1999-08-11_r39,1999-08-11_r39_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Corresponde considerar el dictamen de la Comisión de Turismo en el proyecto de declaración del señor senador Romero por el que se declaran de interés del Honorable Senado de la,,
g092,1999-08-11_r39,1999-08-11_r39_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Queda sancionado el proyecto de ley. Se comunicará a la Honorable Cámara de Diputados.,2 of 14,
g093,1999-08-11_r39,1999-08-11_r39_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Corresponde considerar el dictamen de las comisiones de Interior y Justicia y de Cultura en el proyecto de ley del señor senador Romero Feris por el que se declara monumento,,
g094,1999-08-25_r43,1999-08-25_r43_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",29 of 41,
g095,1999-08-25_r43,1999-08-25_r43_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD,yes,En parte tiene razón el señor senador por La Rioja. Lo que ocurre es que siempre existe un criterio distinto para analizar las facultades reglamentarias. Habitualmente la reglamentación es sólo,,
g096,1999-08-25_r43,1999-08-25_r43_ORDINARIA.html,,Sr. TELL,Sr. Tell,yes,Lo votamos anteriormente.,,
g097,1999-09-01_r44,1999-09-01_r44_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",2 of 62,
g098,1999-09-01_r44,1999-09-01_r44_ORDINARIA.html,,Sr. BRANDA,Sr. BRANDA,yes,Solicito se declare cerrada la conferencia.,,
g099,1999-09-01_r44,1999-09-01_r44_ORDINARIA.html,,Sr. PROSECRETARIO (Pontaquarto),Sr. PROSECRETARIO (Pontaquarto),yes,(Lee:),16 of 55,
g100,1999-09-15_r45,1999-09-15_r45_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Se tomará nota y se dará a conocimiento de los señores senadores. Tiene la palabra el señor senador por Santiago del Estero.,,
g101,1999-09-15_r45,1999-09-15_r45_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,"Corresponde considerar el dictamen de la Comisión de Ecología y Desarrollo Humano en el proyecto de resolución del señor senador San Millán por el que se auspicia la ""Jornada de",,
g102,1999-09-15_r45,1999-09-15_r45_ORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",35 of 84,
g103,1999-09-22_r46,1999-09-22_r46_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Se va a votar el artículo 3 con la modificación propuesta. Es el texto que leyó el señor senador por Entre Ríos.,,
g104,1999-09-22_r46,1999-09-22_r46_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. Presidente (Cafiero),yes,Queda aprobada la declaración. Se procederá en consecuencia.,7 of 7,
g105,1999-10-27_r52,1999-10-27_r52_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,Corresponde considerar el dictamen de la Comisión Parlamentaria Mixta Revisora de Cuentas de la Administración en el expediente Oficiales Varios 152 y 150/95 por el cual la Auditoría General de,,
g106,1999-10-27_r52,1999-10-27_r52_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Trabajo y Previsión Social en el proyecto de declaración del señor senador Ortega por el que se declara de interés del Honorable,,
g107,1999-10-27_r52,1999-10-27_r52_ORDINARIA.html,,Sr. PRESIDENTE (Cafiero),Sr. PRESIDENTE (Cafiero),yes,Corresponde considerar el dictamen de las comisiones de Presupuesto y Hacienda y de Agricultura y Ganadería en el proyecto de comunicación del señor senador Salum por el que se solicita,,
g108,1999-10-27_r52,1999-10-27_r52_ORDINARIA.html,,Sr. GENOUD,Sr. GENOUD,yes,Señor presidente: la Alianza no va a formular preguntas. Agradecemos al señor jefe de Gabinete de Ministros haber brindado el último informe correspondiente a su gestión. También agradecemos sus primeros,,
g109,1999-11-10_r57,1999-11-10_r57_ORDINARIA.html,,Sr. ALASINO,Sr. ALASINO,yes,"Señor presidente: vamos a acompañar la propuesta del señor senador por Corrientes en el sentido de continuar llamando durante media hora más a fin de poder reunir quórum. Quiero decir,",,
g110,1999-11-10_r57,1999-11-10_r57_ORDINARIA.html,,Sr. PRESIDENTE (Menem),Sr. PRESIDENTE (Menem),yes,Queda aprobada la declaración. Se procederá en consecuencia.,6 of 17,
g111,1999-11-10_r57,1999-11-10_r57_ORDINARIA.html,,Sr. SECRETARIO (Oyarzún),Sr. SECRETARIO (Oyarzún),yes,(Lee:) .,41 of 74,
g112,1999-11-17_r59,1999-11-17_r59_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa),yes,Tiene la palabra el señor senador por La Rioja.,3 of 5,
g113,1999-11-17_r59,1999-11-17_r59_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa),yes,Corresponde considerar el dictamen de las comisiones de Drogadicción y Narcotráfico y de Educación en el proyecto de comunicación del señor senador Bravo por el que se solicitan informes acerca,,
g114,1999-11-24_r00,1999-11-24_r00_ASAMBLEA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Queda aprobada la moción por unanimidad. Por Secretaría se dará lectura a lo propuesto por la Presidencia.,,
g115,1999-11-24_r62,1999-11-24_r62_ORDINARIA.html,,Sr. PRESIDENTE (Losada),Sr. PRESIDENTE (Losada),yes,Ahora corresponde votar el tratamiento sobre tablas del expediente en consideración.,,
g116,1999-12-01_r64,1999-12-01_r64_ORDINARIA.html,,Sr. SECRETARIO (Pontaquarto),Sr. Secretario (Pontaquarto),yes,(Lee:) .,33 of 76,
g117,1999-12-01_r64,1999-12-01_r64_ORDINARIA.html,,Sr. PRESIDENTE (Ulloa),Sr. PRESIDENTE (Ulloa),yes,"En consideración en general. Si no se hace uso de la palabra, se va a votar.",53 of 70,
g118,1999-12-09_r67,1999-12-09_r67_ORDINARIA.html,,Sr. DEL PIERO,Sr. DEL PIERO,yes,"Señor presidente: también quiero sumarme a esta despedida, aunque han quedado algunas cosas que no me contestó; pero no importa. Le deseo mucha suerte y esperemos que juntos, aliancistas y",,
g119,1999-12-09_r67,1999-12-09_r67_ORDINARIA.html,,Sr. ROMERO FERIS,Sr. ROMERO FERIS,yes,"Señor presidente: mientras se consigue el quórum quiero solicitar que en la sesión de la semana que viene se considere en primer término el orden del día 1245, referido a",,
g120,1999-12-15_r68,1999-12-15_r68_EXTRAORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,"En consecuencia, pasa al Archivo.",1 of 7,
g121,1999-12-15_r68,1999-12-15_r68_EXTRAORDINARIA.html,,Sr. PRESIDENTE,Sr. PRESIDENTE,yes,Tiene la palabra el señor senador por La Rioja.,14 of 15,
g122,1999-12-22_r69,1999-12-22_r69_EXTRAORDINARIA.html,,Sr. CANTARERO,Sr. CANTARERO,yes,Señor presidente: quisiera salir de una duda ¿Dónde dice siete días?,,
g123,1999-12-22_r69,1999-12-22_r69_EXTRAORDINARIA.html,,Sr. CARBONELL,Sr. CARBONELL,yes,Señor presidente: por las dudas y por lo que pudiere ocurrir quiero aclarar al señor senador Genoud y a este cuerpo que quien habla no disfruta de ninguna jubilación de,,
g124,1999-12-28_r70,1999-12-28_r70_ESPECIAL.html,,Sr. PRESIDENTE,Sr. Presidente,yes,Tiene la palabra el señor senador por San Juan.,,
g125,1999-12-28_r71,1999-12-28_r71_ESPECIAL.html,,Sr. MAYA,Sr. MAYA,yes,No hay depositantes con miedo...,,
