case,session,source_file,page,parser_speaker,blind_read_label,agree,opening_words,reader_notes
h22,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Educación en el proyecto de declaración,
h23,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Educación en el proyecto de declaración,
h24,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Educación en el proyecto de declaración,
h25,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Educación en el proyecto de declaración,
h26,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Educación en el proyecto de resolución,
h27,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Educación en el proyecto de comunicación,
h28,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Educación en el proyecto de comunicación,
h29,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Educación en el proyecto de declaración,
h30,2000-10-25_r59,2000-10-25_r59_ORDINARIA.html,,Sr. Presidente (Cafiero),Sr. Presidente (Cafiero),yes,Corresponde considerar el dictamen de la Comisión de Educación en el proyecto de resolución,
h31,2001-03-07_r02,2001-03-07_r02_ORDINARIA.html,,Sr. Presidente (Menem),Sr. Presidente (Menem),yes,Corresponde considerar el dictamen de la Comisión de Ciencia y Tecnología en el proyecto,
h32,2001-03-07_r02,2001-03-07_r02_ORDINARIA.html,,Sr. Maglietti,Sr. Maglietti,yes,Señor presidente: comparto la opinión de que este problema de la fiebre aftosa es,
h33,2001-03-23_r12,2001-03-23_r12_ORDINARIA.html,,Sr. Ulloa,Sr. Ulloa,yes,"Señor presidente, señoras y señores senadores: como siempre, voy a ser breve, pero esta",
h34,2001-03-28_r13,2001-03-28_r13_ORDINARIA.html,,Sr. Menem,Sr. Menem,yes,Y los indicadores de la realidad así lo demuestran. Pregunto: ¿hace falta demostrar la,
h35,2001-04-04_r14,2001-04-04_r14_ORDINARIA.html,,Sra. Negre de Alonso,Sra. Negre de Alonso,yes,Estaba en uso de la palabra el señor senador Branda.,
h36,2001-05-09_r32,2001-05-09_r32_ESPECIAL.html,,Sr. Maya,Sr. Maya,yes,"Si usted me permite, señor presidente, quiero decirle que el país ha cambiado después",
h37,2001-05-23_r35,2001-05-23_r35_ORDINARIA.html,,Sr. Funes,Sr. Funes,yes,"Señor presidente: después de escuchar la opinión de varios colegas, algunos de ellos compañeros",
h38,2001-06-27_r43,2001-06-27_r43_ORDINARIA.html,,Sr. Presidente (Losada),Sr. Presidente (Losada),yes,Continúa en el uso de la palabra el señor senador Agúndez.,
h39,2001-08-29_r57,2001-08-29_r57_ORDINARIA.html,,Sr. Presidente (Menem),,not asked,Tiene la palabra el señor senador Salum.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h40,2001-08-29_r57,2001-08-29_r57_ORDINARIA.html,,Sr. Presidente (Losada),,not asked,Tiene la palabra el señor senador Salum.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h41,2002-02-21_r83,2002-02-21_r83_ORDINARIA.html,,Sr. Cafiero,Sr. Cafiero,yes,Señor presidente: que conste mi abstención.,
h42,2002-03-14_r03,2002-03-14_r03_ORDINARIA.html,,Sr. Guinle,Sr. Guinle,yes,"Señor presidente: voy a tratar de ser lo más telegráfico posible. En realidad, se",
h43,2002-04-24_r07,2002-04-24_r07_ESPECIAL.html,,Sr. Zavalía,Sr. Zavalía,yes,Señor presidente...,
h44,2002-04-24_r07,2002-04-24_r07_ESPECIAL.html,,Sr. Secretario (Oyarzún),Sr. Secretario (Oyarzún),yes,"(Lee:) ""Artículo 5: Interpuesto el recurso a que se refiere el artículo anterior, el",
h45,2002-09-04_r22,2002-09-04_r22_ORDINARIA.html,,Sra. Fernández de Kirchner,Sra. Fernández de Kirchner,yes,¡Señor presidente: he sido aludida en dos oportunidades!¡Debe darme el uso de la palabra!,
h46,2002-11-21_r35,2002-11-21_r35_ORDINARIA.html,,Sr. Gioja,Sr. Gioja,yes,"Señor presidente: solamente quiero pedir el tratamiento sobre tablas de este tema porque, evidentemente,",
h47,2002-11-27_r36,2002-11-27_r36_ORDINARIA.html,,Sr. Usandizaga,,not asked,Pido la palabra.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h48,2002-11-27_r36,2002-11-27_r36_ORDINARIA.html,,Sr. Maestro,,not asked,Pido la palabra.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h49,2002-11-27_r36,2002-11-27_r36_ORDINARIA.html,,Sra. Avelín,,not asked,Pido la palabra.,"the sitting prints these words more than once and the sheet, which carried no page and no occurrence number, could not say which"
h50,2002-12-18_r39,2002-12-18_r39_EXTRAORDINARIA.html,,Sra. Fernández de Kirchner,Sra. Fernández de Kirchner,yes,"En primer lugar, quiero recordar algo: un señor senador preopinante -- creo que fue",
h51,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja),yes,Corresponde considerar el dictamen de las comisiones de Agricultura y Ganadería y de Ecología,
h52,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja),yes,Corresponde considerar el dictamen de las comisiones de Agricultura y Ganadería y de Industria,
h53,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Presidente (Gioja),(not speech: a section heading),no,"125 Cuadro ""Los Constituyentes"", de Antonio Arce","reader right, parser wrong: a centred section number and an <h1> title read as words the chair said; fixed in 0.5.1-html"
h54,2003-03-06_r02,2003-03-06_r02_ORDINARIA.html,,Sr. Pichetto,Sr. Pichetto,yes,"¡No sé de qué se ríen! Si esa Justicia ""bananera"" de esa provincia --porque",
h55,2003-03-13_r04,2003-03-13_r04_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja),yes,"En consideración el tratamiento sobre tablas. Si no se hace uso de la palabra,",
h56,2003-04-09_r06,2003-04-09_r06_ORDINARIA.html,,Sra. Negre de Alonso,Sra. Negre de Alonso,yes,Señor presidente: el tratamiento sobre tablas de este tema es necesario porque se trata,
h57,2003-05-07_r08,2003-05-07_r08_ORDINARIA.html,,Sr. Presidente (Gioja),Sr. Presidente (Gioja),yes,Tengo anotado al senador Mayans y luego al senador Capitanich. Tiene la palabra el,
h58,2003-06-11_r11,2003-06-11_r11_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias),yes,Corresponde considerar el dictamen de la Comisión de Turismo en el proyecto de comunicación,
h59,2003-06-11_r11,2003-06-11_r11_ORDINARIA.html,,Sr. Zavalía,Sr. Zavalía,yes,De acuerdo.,
h60,2003-06-11_r11,2003-06-11_r11_ORDINARIA.html,,Sr. Presidente (López Arias),Sr. Presidente (López Arias),yes,Señora senadora Ibarra: si me permite que le informe... Al inicio de esta sesión,
